run,radius,k,attack_min_weight,shell,black,white,imbalance,total
r18_t90_k6_w1,18,6,1,0,1,0,1,1
r18_t90_k6_w1,18,6,1,2,1,4,-3,5
r18_t90_k6_w1,18,6,1,3,4,2,2,6
r18_t90_k6_w1,18,6,1,4,2,2,0,4
r18_t90_k6_w1,18,6,1,5,3,4,-1,7
r18_t90_k6_w1,18,6,1,6,6,6,0,12
r18_t90_k6_w1,18,6,1,7,5,6,-1,11
r18_t90_k6_w1,18,6,1,8,7,7,0,14
r18_t90_k6_w1,18,6,1,9,12,12,0,24
r18_t90_k6_w1,18,6,1,10,16,16,0,32
r18_t90_k6_w1,18,6,1,11,18,21,-3,39
r18_t90_k6_w1,18,6,1,12,24,18,6,42
r18_t90_k6_w1,18,6,1,13,22,24,-2,46
r18_t90_k6_w1,18,6,1,14,24,29,-5,53
r18_t90_k6_w1,18,6,1,15,29,24,5,53
r18_t90_k6_w1,18,6,1,16,5,5,0,10
r18_t90_k6_w2,18,6,2,0,1,0,1,1
r18_t90_k6_w2,18,6,2,2,1,4,-3,5
r18_t90_k6_w2,18,6,2,3,4,2,2,6
r18_t90_k6_w2,18,6,2,4,5,2,3,7
r18_t90_k6_w2,18,6,2,5,6,10,-4,16
r18_t90_k6_w2,18,6,2,6,12,11,1,23
r18_t90_k6_w2,18,6,2,7,19,14,5,33
r18_t90_k6_w2,18,6,2,8,21,18,3,39
r18_t90_k6_w2,18,6,2,9,22,24,-2,46
r18_t90_k6_w2,18,6,2,10,27,25,2,52
r18_t90_k6_w2,18,6,2,11,31,28,3,59
r18_t90_k6_w2,18,6,2,12,30,30,0,60
r18_t90_k6_w2,18,6,2,13,0,12,-12,12
r18_t90_k6_w3,18,6,3,0,1,0,1,1
r18_t90_k6_w3,18,6,3,2,1,4,-3,5
r18_t90_k6_w3,18,6,3,3,6,2,4,8
r18_t90_k6_w3,18,6,3,4,6,7,-1,13
r18_t90_k6_w3,18,6,3,5,10,9,1,19
r18_t90_k6_w3,18,6,3,6,17,11,6,28
r18_t90_k6_w3,18,6,3,7,19,17,2,36
r18_t90_k6_w3,18,6,3,8,22,20,2,42
r18_t90_k6_w3,18,6,3,9,26,22,4,48
r18_t90_k6_w3,18,6,3,10,28,26,2,54
r18_t90_k6_w3,18,6,3,11,31,29,2,60
r18_t90_k6_w3,18,6,3,12,12,31,-19,43
r18_t90_k6_w3,18,6,3,13,0,2,-2,2
r18_t90_k6_w4,18,6,4,0,1,0,1,1
r18_t90_k6_w4,18,6,4,2,2,4,-2,6
r18_t90_k6_w4,18,6,4,3,4,5,-1,9
r18_t90_k6_w4,18,6,4,4,10,5,5,15
r18_t90_k6_w4,18,6,4,5,16,9,7,25
r18_t90_k6_w4,18,6,4,6,19,12,7,31
r18_t90_k6_w4,18,6,4,7,20,18,2,38
r18_t90_k6_w4,18,6,4,8,23,21,2,44
r18_t90_k6_w4,18,6,4,9,24,26,-2,50
r18_t90_k6_w4,18,6,4,10,27,29,-2,56
r18_t90_k6_w4,18,6,4,11,28,34,-6,62
r18_t90_k6_w4,18,6,4,12,5,17,-12,22
r18_t90_k6_w5,18,6,5,0,1,0,1,1
r18_t90_k6_w5,18,6,5,1,2,0,2,2
r18_t90_k6_w5,18,6,5,2,3,7,-4,10
r18_t90_k6_w5,18,6,5,3,6,10,-4,16
r18_t90_k6_w5,18,6,5,4,9,11,-2,20
r18_t90_k6_w5,18,6,5,5,14,14,0,28
r18_t90_k6_w5,18,6,5,6,17,17,0,34
r18_t90_k6_w5,18,6,5,7,20,20,0,40
r18_t90_k6_w5,18,6,5,8,23,23,0,46
r18_t90_k6_w5,18,6,5,9,26,26,0,52
r18_t90_k6_w5,18,6,5,10,29,29,0,58
r18_t90_k6_w5,18,6,5,11,29,23,6,52
