run,color,spiral_index,q,r,shell,sector
r8_t18_k6_w1,black,0,0,0,0,-1
r8_t18_k6_w1,black,17,0,2,2,0
r8_t18_k6_w1,black,19,3,0,3,0
r8_t18_k6_w1,black,28,-3,0,3,3
r8_t18_k6_w1,black,31,-3,3,3,1
r8_t18_k6_w1,black,34,0,3,3,0
r8_t18_k6_w1,black,49,-4,0,4,3
r8_t18_k6_w1,black,53,-4,4,4,1
r8_t18_k6_w1,black,71,0,-5,5,3
r8_t18_k6_w1,black,76,-5,0,5,3
r8_t18_k6_w1,black,78,-5,2,5,2
r8_t18_k6_w1,black,100,3,-6,6,4
r8_t18_k6_w1,black,103,0,-6,6,3
r8_t18_k6_w1,black,109,-6,0,6,3
r8_t18_k6_w1,black,111,-6,2,6,2
r8_t18_k6_w1,black,112,-6,3,6,2
r8_t18_k6_w1,black,124,3,3,6,0
r8_t18_k6_w1,black,138,3,-7,7,4
r8_t18_k6_w1,black,141,0,-7,7,3
r8_t18_k6_w1,black,143,-2,-5,7,3
r8_t18_k6_w1,black,146,-5,-2,7,3
r8_t18_k6_w1,black,165,3,4,7,0
r8_t18_k6_w1,black,169,8,0,8,0
r8_t18_k6_w1,black,185,0,-8,8,3
r8_t18_k6_w1,black,186,-1,-7,8,3
r8_t18_k6_w1,black,194,-8,1,8,2
r8_t18_k6_w1,black,195,-8,2,8,2
r8_t18_k6_w1,black,196,-8,3,8,2
r8_t18_k6_w1,black,197,-8,4,8,2
r8_t18_k6_w1,white,8,2,-1,2,5
r8_t18_k6_w1,white,10,1,-2,2,4
r8_t18_k6_w1,white,12,-1,-1,2,3
r8_t18_k6_w1,white,14,-2,1,2,2
r8_t18_k6_w1,white,23,2,-3,3,4
r8_t18_k6_w1,white,24,1,-3,3,4
r8_t18_k6_w1,white,40,4,-3,4,5
r8_t18_k6_w1,white,43,2,-4,4,4
r8_t18_k6_w1,white,62,5,-1,5,5
r8_t18_k6_w1,white,65,5,-4,5,5
r8_t18_k6_w1,white,85,-1,5,5,1
r8_t18_k6_w1,white,90,4,1,5,0
r8_t18_k6_w1,white,92,6,-1,6,5
r8_t18_k6_w1,white,93,6,-2,6,5
r8_t18_k6_w1,white,95,6,-4,6,5
