opening_id,white_pair,black_strategy,white_strategy,black_reply,winner,completed_turns,final_black_tau,final_white_tau,final_black_obligations,final_white_obligations,final_black_pair_atoms,final_white_pair_atoms,final_black_bulk_pressure,final_white_bulk_pressure,final_black_family_max,final_white_family_max,first_black_tau_gt2,first_white_tau_gt2,max_black_tau,max_white_tau,max_black_obligations,max_white_obligations,black_stones,white_stones
O0001,"[[-1, 0], [-1, 1]]",debt_builder,screen_counter,"[[-1, -1], [-1, 2]]",none,2,0,0,0,0,0,0,8.400000000000002,4.4,0,0,,,0,0,0,0,7,6
O0001,"[[-1, 0], [-1, 1]]",debt_builder,min_tau,"[[-1, -1], [-1, 2]]",none,2,0,0,0,0,0,0,7.400000000000001,3.8000000000000003,0,0,,,0,0,0,0,7,6
O0001,"[[-1, 0], [-1, 1]]",hybrid,screen_counter,"[[-1, -1], [-2, 1]]",none,2,0,0,0,0,0,0,12.399999999999999,1.4,0,0,,,0,0,0,0,7,6
O0001,"[[-1, 0], [-1, 1]]",hybrid,min_tau,"[[-1, -1], [-2, 1]]",none,2,0,0,0,0,0,0,3.0000000000000004,1.2,0,0,,,0,0,0,0,7,6
O0002,"[[-1, 0], [0, 1]]",debt_builder,screen_counter,"[[1, 0], [-1, 1]]",none,2,0,0,0,0,0,0,0.8,0.8,0,0,,,0,0,0,0,7,6
O0002,"[[-1, 0], [0, 1]]",debt_builder,min_tau,"[[1, 0], [-1, 1]]",none,2,0,0,0,0,0,0,10.2,4.800000000000001,0,0,,,0,0,0,0,7,6
O0002,"[[-1, 0], [0, 1]]",hybrid,screen_counter,"[[1, 0], [-1, 1]]",none,2,0,0,0,0,0,0,0.0,0.4,0,0,,,0,0,0,0,7,6
O0002,"[[-1, 0], [0, 1]]",hybrid,min_tau,"[[1, 0], [-1, 1]]",none,2,1,0,1,0,0,0,27.79999999999999,6.400000000000001,1,0,,,1,0,1,0,7,6
O0014,"[[-2, 1], [-1, -1]]",debt_builder,screen_counter,"[[0, -1], [0, 1]]",none,2,0,0,0,0,0,0,16.0,1.5999999999999999,0,0,,,0,0,0,0,7,6
O0014,"[[-2, 1], [-1, -1]]",debt_builder,min_tau,"[[0, -1], [0, 1]]",none,2,0,0,0,0,0,0,12.399999999999999,8.200000000000001,0,0,,,1,0,2,0,7,6
O0014,"[[-2, 1], [-1, -1]]",hybrid,screen_counter,"[[0, -1], [0, 1]]",none,2,0,0,0,0,0,0,16.0,1.5999999999999999,0,0,,,0,0,0,0,7,6
O0014,"[[-2, 1], [-1, -1]]",hybrid,min_tau,"[[0, -1], [0, 1]]",none,2,0,0,0,0,0,0,8.400000000000002,3.4000000000000012,0,0,,,1,0,2,0,7,6
O0019,"[[-2, 1], [2, -1]]",debt_builder,screen_counter,"[[1, 0], [-1, 0]]",none,2,0,0,0,0,0,0,17.599999999999998,1.5999999999999999,0,0,,,0,0,0,0,7,6
O0019,"[[-2, 1], [2, -1]]",debt_builder,min_tau,"[[1, 0], [-1, 0]]",none,2,1,0,1,0,0,0,19.0,5.600000000000001,1,0,,,1,0,1,0,7,6
O0019,"[[-2, 1], [2, -1]]",hybrid,screen_counter,"[[0, -1], [0, 1]]",none,2,0,0,0,0,0,0,3.4000000000000004,0.2,0,0,,,0,0,0,0,7,6
O0019,"[[-2, 1], [2, -1]]",hybrid,min_tau,"[[0, -1], [0, 1]]",none,2,0,0,0,0,0,0,8.4,5.3999999999999995,0,0,,,1,0,2,0,7,6
O0011,"[[-2, 0], [1, 0]]",debt_builder,screen_counter,"[[1, -1], [-2, 2]]",none,2,0,0,0,0,0,0,1.7999999999999998,1.4,0,0,,,0,0,0,0,7,6
O0011,"[[-2, 0], [1, 0]]",debt_builder,min_tau,"[[1, -1], [-2, 2]]",none,2,0,0,0,0,0,0,3.5999999999999996,2.8000000000000003,0,0,,,0,0,0,0,7,6
O0011,"[[-2, 0], [1, 0]]",hybrid,screen_counter,"[[1, -1], [-2, 2]]",none,2,0,0,0,0,0,0,1.7999999999999998,1.4,0,0,,,0,0,0,0,7,6
O0011,"[[-2, 0], [1, 0]]",hybrid,min_tau,"[[1, -1], [-2, 2]]",none,2,0,0,0,0,0,0,3.0,2.1999999999999997,0,0,,,0,0,0,0,7,6
