opening_id,pair,orbit_size,max_radius,min_pair_distance,black_bulk_pressure,white_bulk_pressure,root_lines_blocked,white_two_lines,static_vulnerability
O0001,"[[-1, 0], [-1, 1]]",6,1,1,1.6,7.0,10,5,-11.15
O0002,"[[-1, 0], [0, 1]]",6,1,2,1.6,4.0,10,0,-9.9
O0003,"[[-1, 0], [1, 0]]",3,1,2,2.4,4.0,6,0,-6.1
O0004,"[[-2, 0], [-2, 1]]",12,2,1,2.8,6.400001,4,4,-5.2
O0005,"[[-2, 0], [-2, 2]]",6,2,2,2.0,5.6,8,4,-8.2
O0006,"[[-2, 0], [-1, 0]]",6,2,1,2.6,3.6,5,0,-4.75
O0007,"[[-2, 0], [-1, 1]]",12,2,2,1.8,3.6,9,0,-8.55
O0008,"[[-2, 0], [-1, 2]]",12,2,3,2.8,4.0,4,0,-4.2
O0009,"[[-2, 0], [0, 1]]",12,2,3,1.8,3.6,9,0,-8.55
O0010,"[[-2, 0], [0, 2]]",6,2,4,2.0,3.2,8,0,-7.2
O0011,"[[-2, 0], [1, 0]]",6,2,3,2.4,3.6,6,0,-5.7
O0012,"[[-2, 0], [1, 1]]",12,2,4,2.8,4.0,4,0,-4.2
O0013,"[[-2, 0], [2, 0]]",3,2,4,2.4,3.2,6,0,-5.3
O0014,"[[-2, 1], [-1, -1]]",6,2,2,3.6,4.8,0,0,-1.2
O0015,"[[-2, 1], [-1, 0]]",12,2,1,2.6,6.8,5,4,-6.55
O0016,"[[-2, 1], [0, -1]]",12,2,2,2.6,6.800001,5,4,-6.550001
O0017,"[[-2, 1], [1, -2]]",6,2,3,3.6,6.6,0,3,-1.95
O0018,"[[-2, 1], [1, -1]]",12,2,3,2.6,4.4,5,0,-5.55
O0019,"[[-2, 1], [2, -1]]",3,2,4,3.6,4.8,0,0,-1.2
