opening_id,radius,white_pair,best_black_reply,score,nodes,cache_hits,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation
O0001,3,"[[-1, 0], [-1, 1]]","[[-1, -1], [-2, 1]]",-0.35,329,35,screened_or_balanced,0,0,0,0,0.6,0.0,"[{""move"": [[-1, -1], [-2, 1]], ""player"": ""black"", ""score"": -0.35}, {""move"": [[0, 1], [2, -1]], ""player"": ""white"", ""score"": -0.35}]"
O0002,3,"[[-1, 0], [0, 1]]","[[1, -1], [-1, 1]]",-0.35,300,51,black_bulk_edge,0,0,0,0,6.4,0.4,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": -0.35}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": -0.35}]"
O0003,3,"[[-1, 0], [1, 0]]","[[1, -1], [-1, 1]]",-0.35,149,62,black_bulk_edge,0,0,0,0,6.8,0.4,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": -0.35}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": -0.35}]"
O0004,3,"[[-2, 0], [-2, 1]]","[[0, -1], [0, 1]]",0.0,303,3,black_bulk_edge,0,0,0,0,6.8,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[1, -1], [0, -2]], ""player"": ""white"", ""score"": 0.0}]"
O0005,3,"[[-2, 0], [-2, 2]]","[[0, -1], [0, 1]]",0.14,215,58,black_bulk_edge,0,0,0,0,6.8,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.13999999999999999}, {""move"": [[2, -1], [0, -2]], ""player"": ""white"", ""score"": 0.13999999999999999}]"
O0006,3,"[[-2, 0], [-1, 0]]","[[0, -1], [-1, 1]]",-0.14,240,32,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[0, -1], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [0, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0007,3,"[[-2, 0], [-1, 1]]","[[0, 1], [-1, -1]]",-0.14,255,0,screened_or_balanced,0,0,0,0,2.4,0.0,"[{""move"": [[0, 1], [-1, -1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, 0], [0, -1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0008,3,"[[-2, 0], [-1, 2]]","[[-1, 1], [0, 1]]",-0.14,320,5,screened_or_balanced,0,0,0,0,5.0,0.0,"[{""move"": [[-1, 1], [0, 1]], ""player"": ""black"", ""score"": -0.13999999999999996}, {""move"": [[1, -1], [0, -1]], ""player"": ""white"", ""score"": -0.13999999999999996}]"
O0009,3,"[[-2, 0], [0, 1]]","[[-1, 1], [2, -1]]",-0.14,323,5,screened_or_balanced,0,0,0,0,2.4,0.0,"[{""move"": [[-1, 1], [2, -1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [-1, 0]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0010,3,"[[-2, 0], [0, 2]]","[[1, -1], [-1, 1]]",0.14,269,44,black_bulk_edge,0,0,0,0,6.8,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.13999999999999999}, {""move"": [[2, -2], [-1, -1]], ""player"": ""white"", ""score"": 0.13999999999999999}]"
O0011,3,"[[-2, 0], [1, 0]]","[[1, -1], [0, 1]]",-0.14,235,32,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, -1], [0, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[0, -1], [-1, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0012,3,"[[-2, 0], [1, 1]]","[[1, -1], [-1, 1]]",0.0,294,5,black_bulk_edge,0,0,0,0,6.8,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.0}]"
O0013,3,"[[-2, 0], [2, 0]]","[[1, -1], [-1, 1]]",0.14,165,58,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0014,3,"[[-2, 1], [-1, -1]]","[[0, -1], [-1, 1]]",0.0,314,40,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[0, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[1, -1], [0, 1]], ""player"": ""white"", ""score"": 0.0}]"
O0015,3,"[[-2, 1], [-1, 0]]","[[0, -1], [-1, 1]]",-0.14,253,0,screened_or_balanced,0,0,0,0,4.2,0.0,"[{""move"": [[0, -1], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [0, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0016,3,"[[-2, 1], [0, -1]]","[[1, 0], [-1, 0]]",-0.28,185,0,black_bulk_edge,0,0,0,0,7.0,0.4,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": -0.27999999999999997}, {""move"": [[1, -1], [2, 0]], ""player"": ""white"", ""score"": -0.27999999999999997}]"
O0017,3,"[[-2, 1], [1, -2]]","[[1, 0], [-1, 0]]",-0.14,257,16,black_bulk_edge,0,0,0,0,7.2,0.2,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": -0.13999999999999996}, {""move"": [[-1, 1], [2, 0]], ""player"": ""white"", ""score"": -0.13999999999999996}]"
O0018,3,"[[-2, 1], [1, -1]]","[[1, 0], [-1, 0]]",-0.35,188,4,black_bulk_edge,0,0,0,0,6.8,0.4,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": -0.35}, {""move"": [[0, 1], [2, 0]], ""player"": ""white"", ""score"": -0.35}]"
O0019,3,"[[-2, 1], [2, -1]]","[[0, -1], [0, 1]]",0.07,211,69,black_bulk_edge,0,0,0,0,6.8,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.06999999999999999}, {""move"": [[1, 0], [0, -2]], ""player"": ""white"", ""score"": 0.06999999999999999}]"
O0020,3,"[[-3, 0], [-3, 1]]","[[1, -1], [-1, 1]]",0.14,222,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0021,3,"[[-3, 0], [-3, 2]]","[[0, -1], [0, 1]]",0.14,256,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, -1], [0, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0022,3,"[[-3, 0], [-3, 3]]","[[1, 0], [-1, 0]]",0.21,185,40,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": 0.21000000000000002}, {""move"": [[0, -1], [2, 0]], ""player"": ""white"", ""score"": 0.21000000000000002}]"
O0023,3,"[[-3, 0], [-2, 0]]","[[1, -1], [-1, 1]]",0.14,199,12,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0024,3,"[[-3, 0], [-2, 1]]","[[-1, 0], [0, 1]]",0.07,377,0,screened_or_balanced,0,0,0,0,3.8,0.0,"[{""move"": [[-1, 0], [0, 1]], ""player"": ""black"", ""score"": 0.07000000000000002}, {""move"": [[1, 0], [0, -1]], ""player"": ""white"", ""score"": 0.07000000000000002}]"
O0025,3,"[[-3, 0], [-2, 2]]","[[1, 0], [-1, 0]]",0.14,207,6,screened_or_balanced,0,0,0,0,4.2,0.0,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, 0]], ""player"": ""white"", ""score"": 0.14}]"
O0026,3,"[[-3, 0], [-2, 3]]","[[0, -1], [0, 1]]",0.14,253,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, -1], [0, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0027,3,"[[-3, 0], [-1, 0]]","[[0, -1], [-1, 1]]",-0.14,240,32,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[0, -1], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [0, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0028,3,"[[-3, 0], [-1, 1]]","[[-1, 0], [0, 1]]",-0.14,245,4,screened_or_balanced,0,0,0,0,3.4,0.0,"[{""move"": [[-1, 0], [0, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, 0], [0, -1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0029,3,"[[-3, 0], [-1, 2]]","[[1, 0], [-1, 0]]",0.14,244,6,screened_or_balanced,0,0,0,0,4.2,0.0,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, -1], [2, 0]], ""player"": ""white"", ""score"": 0.14}]"
O0030,3,"[[-3, 0], [-1, 3]]","[[1, -1], [-1, 1]]",0.14,264,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0031,3,"[[-3, 0], [0, 1]]","[[1, 0], [-1, 1]]",-0.14,240,5,screened_or_balanced,0,0,0,0,3.4,0.0,"[{""move"": [[1, 0], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [-1, 0]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
