template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,embedding_cell_count,a2_dimension,a2_convex_area,a2_convex_deficit,a2_support_signature,a2_coxeter_diameter,axis_line_arrangement,boundary_slope_partition,hex_components,hex_holes,hex_euler_characteristic,boundary_edge_count,manifold_label,conway_embedding_signature,abstract_signature_frequency,abstract_signature_representatives
T_0087,E000000088,exact,3,1,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[2,-2],[2,0]]","[[[-4,0]],[[3,0]],[[1,-1],[3,-1]]]",9,0,3,4,"(-2, 0)",rail,rail,three-axis,1a863e3342ece3ea301b42b29b58098c49202356,1,1,4,3,"{""1"":2,""2"":1}",2,1,3,2,0.0,"0,0,0,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 4, 2, 1, 0, 1)",7420f368b495828a0c8d200674f4fa4a8e7d688b,1,15,3,"{""A"":9,""M"":2,""O"":4}",1,12,0.08333333333333333,15,2,21,6,"(7, 7, 2)",7,"((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1))","(8, 8, 8, 8, 3, 3)",1,0,1,38,disk,"(2, 1, 0, 6, '(7, 7, 2)', (8, 8, 8, 8, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1)))",9,9
T_0253,E000000256,proto,3,1,1,"[[-2,2],[-1,1],[-1,4],[0,0],[1,-1],[2,-2]]",[],"[[-1,2],[3,-3]]","[[[-3,3]],[[4,-4]],[[-1,3],[-1,5],[-1,6]]]",6,0,3,5,"(-5, 1)",kink,kink_bridge,three-axis,0a42b83b5e572a8e0f2617aea3bef11d8b8e6174,1,1,5,3,"{""1"":2,""3"":1}",2,0,3,3,0.0,"-1.11e-16,0,0,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 5, 2, 0, 1, 1)",7d36e56e5ef675c537430ff38a90fdee981c2423,1,13,3,"{""A"":6,""M"":2,""O"":5}",1,12,0.08333333333333333,13,2,45,32,"(10, 7, 5)",10,"((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1))","(12, 12, 8, 8, 6, 6)",1,0,1,52,disk,"(2, 1, 0, 32, '(10, 7, 5)', (12, 12, 8, 8, 6, 6), ((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1)))",3,3
T_0120,E000000121,exact,3,1,0,"[[-1,2],[0,-1],[0,0],[0,1],[3,2]]",[],"[[-2,2],[0,2]]","[[[0,-3],[0,-2]],[[0,3],[0,4]],[[1,2],[2,2]]]",5,0,3,6,"(-2, 0)",rail,rail_ladder,three-axis,02771a31df24fdde0f2dd10fb27418e4914f703b,1,1,6,3,"{""2"":3}",0,3,3,8,0.0,"0,0,0,2,2,2","{""rail"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 6, 0, 3, 0, 1)",5b0ba209919d888532765c782e31490f609aeab1,1,13,3,"{""A"":5,""M"":2,""O"":6}",1,12,0.08333333333333333,13,2,42,29,"(8, 7, 5)",8,"((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1))","(11, 11, 8, 8, 6, 6)",1,0,1,50,disk,"(2, 1, 0, 29, '(8, 7, 5)', (11, 11, 8, 8, 6, 6), ((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1)))",4,4
T_0114,E000000115,exact,3,1,0,"[[0,-2],[0,-1],[0,0],[0,1],[1,1],[3,1]]","[[-1,1]]","[[2,-2],[2,1]]","[[[0,-4],[0,-3]],[[0,2],[0,3]],[[4,1],[5,1]]]",6,1,3,6,"(-3, 0)",rail,rail_ladder,three-axis,33519537a9611bc311cf62ffb4dfdb9ece02e5b3,1,1,6,3,"{""2"":3}",0,3,3,8,0.0,"0,0,0,2,2,2","{""rail"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 6, 0, 3, 0, 1)",d23a4ca2803c60199972ffbef4ab4732a6eeccc8,1,15,3,"{""A"":6,""D"":1,""M"":2,""O"":6}",1,12,0.08333333333333333,15,2,52,37,"(10, 7, 6)",10,"((8, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1))","(13, 13, 9, 9, 8, 8)",2,0,2,60,disconnected,"(2, 2, 0, 37, '(10, 7, 6)', (13, 13, 9, 9, 8, 8), ((8, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",4,4
T_0270,E000000273,exact,3,1,0,"[[-2,2],[-1,1],[-1,4],[1,-1],[2,-2]]","[[-2,0]]","[[-1,2],[-1,3]]","[[[-1,-1],[-1,0]],[[-1,5],[-1,6]],[[0,0],[3,-3]]]",5,1,3,6,"(-1, 0)",adjacent,adjacent,three-axis,fb882e3302c3bb706228d72680eb81bfecef79cc,1,1,6,3,"{""2"":3}",0,3,3,8,0.0,"0,0,0,2,2,2","{""selfplay"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 6, 0, 3, 0, 1)",26f7116812d661f6847eb12fc2e786b789d1edaa,1,14,3,"{""A"":5,""D"":1,""M"":2,""O"":6}",1,12,0.08333333333333333,14,2,44,30,"(9, 7, 5)",9,"((8, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1))","(11, 11, 8, 8, 7, 7)",1,0,1,52,disk,"(2, 1, 0, 30, '(9, 7, 5)', (11, 11, 8, 8, 7, 7), ((8, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1), (3, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",2,2
T_0250,E000000253,proto,3,1,0,"[[-3,-1],[2,-3],[2,-2],[2,-1]]",[],"[[-2,-1],[2,-4]]","[[[2,-6],[2,-5]],[[2,0],[2,1]],[[-1,-1],[0,-1],[1,-1]]]",4,0,3,7,"(-4, 1)",kink,kink_bridge,three-axis,1b7b73f7499caa353d0184e0189e1497688105e6,1,1,7,3,"{""2"":2,""3"":1}",0,2,3,12,0.0,"-1.11e-16,0,0,2,2,3,3","{""random"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 7, 0, 2, 1, 1)",39cdb62925cd3767342e3c9abc551e02b4b6245f,1,13,3,"{""A"":4,""M"":2,""O"":7}",1,12,0.08333333333333333,13,2,33,20,"(7, 7, 5)",7,"((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1))","(12, 12, 8, 8, 6, 6)",1,0,1,52,disk,"(2, 1, 0, 20, '(7, 7, 5)', (12, 12, 8, 8, 6, 6), ((8, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1)))",2,2
T_0171,E000000172,proto,3,1,0,"[[-2,0],[-1,0],[0,2],[0,5]]",[],"[[0,0],[2,0]]","[[[1,0],[3,0]],[[-5,0],[-4,0],[-3,0]],[[0,1],[0,3],[0,4]]]",4,0,3,8,"(-2, 0)",rail,rail_ladder,three-axis,2e35701effc176740417f0fe9d171a2c79cb1232,1,1,8,3,"{""2"":1,""3"":2}",0,1,3,18,0.0,"-1.11e-16,-1.11e-16,0,2,3,3,3,3","{""random"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 8, 0, 1, 2, 1)",056bb6df86c63e4c26f0a0a6ca91087fd5f37e48,1,14,3,"{""A"":4,""M"":2,""O"":8}",1,12,0.08333333333333333,14,2,48,34,"(10, 8, 5)",10,"((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1))","(13, 13, 9, 9, 6, 6)",1,0,1,56,disk,"(2, 1, 0, 34, '(10, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",3,3
T_0296,E000000299,proto,3,1,0,"[[-2,1],[-1,1],[1,-1],[2,-2]]",[],"[[-3,1],[-2,-1]]","[[[-6,1],[-5,1],[-4,1]],[[0,0],[3,-3],[4,-4]],[[0,1],[1,1],[2,1]]]",4,0,3,9,"(-2, 1)",bridge,bridge_fork,three-axis,001d77d375f84ac1113cd11c32812b4e80515549,1,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,1.11e-16,3,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 9, 0, 0, 3, 1)",d5bed3f05f98aad2285d75db11a321bf38496518,1,15,3,"{""A"":4,""M"":2,""O"":9}",1,12,0.08333333333333333,15,2,48,33,"(10, 8, 5)",10,"((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1))","(14, 14, 10, 10, 7, 7)",2,0,2,62,disconnected,"(2, 2, 0, 33, '(10, 8, 5)', (14, 14, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",47,47
T_0243,E000000246,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[-3,-1],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[-2,-1],[-1,-1],[0,-1]],[[3,-2],[4,-3],[5,-4]]]",3,0,3,9,"(-5, 0)",rail,rail_ladder,three-axis,114b1ca8823fcb874fc55ff282654733de38fe76,1,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 9, 0, 0, 3, 1)",078b0651af8b3bfa10be72bf5c01ee8d508b2f45,1,14,3,"{""A"":3,""M"":2,""O"":9}",1,12,0.08333333333333333,14,2,39,25,"(8, 8, 5)",8,"((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1))","(13, 13, 9, 9, 6, 6)",1,0,1,56,disk,"(2, 1, 0, 25, '(8, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1)))",28,27
T_0242,E000000245,proto,3,1,0,"[[0,-1],[0,1],[1,-1],[1,0]]","[[-1,-1]]","[[-3,0],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[3,-2],[4,-3],[5,-4]],[[3,-1],[4,-1],[5,-1]]]",4,1,3,9,"(-5, 1)",kink,kink_bridge,three-axis,0fd6c1d150d872ba0228e7ac0eb43ba99af99acb,1,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3,3","{""opening"":1}",1,0.0,0.693147,source-local,"(3, 1, 3, 9, 0, 0, 3, 1)",9fa36e083b283e33cb06a70718ca85e63a1203bf,1,16,3,"{""A"":4,""D"":1,""M"":2,""O"":9}",1,12,0.08333333333333333,16,2,56,40,"(8, 8, 7)",8,"((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1))","(14, 14, 10, 10, 8, 8)",2,0,2,64,disconnected,"(2, 2, 0, 40, '(8, 8, 7)', (14, 14, 10, 10, 8, 8), ((9, 1, 1, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",22,22
