family,pair_shape,a2_support_signature,d6_stabilizer_order,templates,events,mean_d6_orbit_size,burnside_fixed_mass
rail_ladder,"(-3, 0)","(8, 8, 5)",1,7,7,12.0,0.583333
kink_bridge,"(-4, 1)","(10, 8, 5)",1,7,7,12.0,0.583333
kink_bridge,"(-3, 1)","(10, 8, 5)",1,6,6,12.0,0.5
rail_ladder,"(-2, 0)","(9, 8, 8)",1,4,6,12.0,0.333333
adjacent,"(-1, 0)","(9, 8, 8)",1,5,5,12.0,0.416667
kink_bridge,"(-3, 1)","(10, 8, 6)",1,5,5,12.0,0.416667
kink_bridge,"(-3, 1)","(9, 9, 8)",1,4,4,12.0,0.333333
kink_bridge,"(-3, 1)","(10, 8, 8)",1,4,4,12.0,0.333333
adjacent,"(-1, 0)","(8, 8, 5)",1,4,4,12.0,0.333333
kink_bridge,"(-4, 1)","(8, 8, 6)",1,4,4,12.0,0.333333
rail_ladder,"(-2, 0)","(8, 8, 5)",1,4,4,12.0,0.333333
rail_ladder,"(-4, 0)","(10, 8, 5)",1,4,4,12.0,0.333333
bridge_fork,"(-2, 1)","(10, 8, 5)",1,4,4,12.0,0.333333
kink_bridge,"(-4, 2)","(10, 8, 5)",1,4,4,12.0,0.333333
rail_ladder,"(-4, 0)","(8, 8, 5)",1,3,4,12.0,0.25
kink_bridge,"(-4, 1)","(9, 9, 8)",1,3,3,12.0,0.25
kink_bridge,"(-3, 1)","(9, 8, 8)",1,3,3,12.0,0.25
rail_ladder,"(-2, 0)","(8, 8, 8)",1,3,3,12.0,0.25
kink_bridge,"(-3, 1)","(10, 8, 7)",1,3,3,12.0,0.25
bridge_fork,"(-2, 1)","(9, 8, 8)",1,3,3,12.0,0.25
rail_ladder,"(-2, 0)","(10, 8, 5)",1,3,3,12.0,0.25
adjacent,"(-1, 0)","(10, 8, 8)",1,3,3,12.0,0.25
rail_ladder,"(-2, 0)","(8, 8, 6)",1,3,3,12.0,0.25
kink_bridge,"(-4, 1)","(10, 9, 8)",1,3,3,12.0,0.25
adjacent,"(-1, 0)","(8, 8, 6)",1,3,3,12.0,0.25
kink_bridge,"(-5, 2)","(10, 9, 8)",1,2,2,12.0,0.166667
rail_ladder,"(-2, 0)","(9, 9, 8)",1,2,2,12.0,0.166667
bridge_fork,"(-2, 1)","(10, 8, 8)",1,2,2,12.0,0.166667
adjacent,"(-1, 0)","(9, 9, 8)",1,2,2,12.0,0.166667
rail,"(-4, 0)","(10, 8, 8)",1,2,2,12.0,0.166667
