template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,embedding_cell_count,a2_dimension,a2_convex_area,a2_convex_deficit,a2_support_signature,a2_coxeter_diameter,axis_line_arrangement,boundary_slope_partition,hex_components,hex_holes,hex_euler_characteristic,boundary_edge_count,manifold_label,conway_embedding_signature
T_0001,E000000028,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[2,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-3,4],[-2,3],[-1,2]],[[2,0],[3,0],[4,0]],[[3,-2],[4,-3],[5,-4]]]",3,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,2a430e490927cc5e285900db0baf1ee232b04da5,3,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""selfplay"":3}",1,0.0,1.386294,candidate-signal,"(4, 2, 4, 12, 0, 0, 4, 1)",1a890b08f0c646e2f311b3703d42b181b368309f,1,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,17,2,65,48,"(9, 8, 8)",9,"((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1, 1))","(15, 15, 9, 9, 9, 9)",1,0,1,66,disk,"(2, 1, 0, 48, '(9, 8, 8)', (15, 15, 9, 9, 9, 9), ((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1, 1)))"
T_0002,E000000032,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[-1,2],[0,1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,5],[-3,4],[-2,3]],[[2,-1],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]]]",3,0,4,12,"(-1, 0)",adjacent,adjacent,three-axis,9c1e6f2a3a0dd688a13d567d94dc42d0d49f7150,2,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,1.665e-16,1.665e-16,3,3,3,3","{""selfplay"":2}",1,0.0,1.098612,candidate-signal,"(4, 2, 4, 12, 0, 0, 4, 1)",1a890b08f0c646e2f311b3703d42b181b368309f,1,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,17,2,60,43,"(8, 8, 8)",8,"((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 2, 1))","(15, 15, 9, 9, 9, 9)",1,0,1,66,disk,"(2, 1, 0, 43, '(8, 8, 8)', (15, 15, 9, 9, 9, 9), ((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 2, 1)))"
T_0003,E000000229,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[-2,-1],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[-1,-1],[0,-1],[3,-1]],[[3,-2],[4,-3],[5,-4]]]",3,0,3,9,"(-4, 0)",rail,rail_ladder,three-axis,7535cc79660de82b75a14f294925c232737a7a4e,2,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3,3","{""opening"":2}",1,0.0,1.098612,candidate-signal,"(3, 1, 3, 9, 0, 0, 3, 1)",078b0651af8b3bfa10be72bf5c01ee8d508b2f45,1,14,3,"{""A"":3,""M"":2,""O"":9}",1,12,0.08333333333333333,14,2,43,29,"(8, 8, 5)",8,"((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1))","(12, 12, 9, 9, 6, 6)",1,0,1,54,disk,"(2, 1, 0, 29, '(8, 8, 5)', (12, 12, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1)))"
T_0078,E000000079,proto,15,13,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-2,1],[-1,-2]]","[[[-5,0]],[[2,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,2],[-2,3],[-2,4]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,1],[-1,2],[-1,3]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",10,0,15,41,"(-3, 1)",kink,kink_bridge,three-axis,00a30e695aa5483600aa4e0055d1f568fd752370,1,1,41,15,"{""1"":2,""3"":13}",2,0,15,-1,0.0,"-6.886e-16,-2.22e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(15, 13, 15, 41, 2, 0, 13, 1)",c063a334656a7fce3fd74902948e919fa4cc50cf,1,53,15,"{""A"":10,""M"":2,""O"":41}",1,12,0.08333333333333333,53,2,75,22,"(9, 9, 9)",9,"((9, 9, 9, 5, 5, 4, 4, 4, 3, 1), (9, 9, 7, 5, 5, 5, 5, 4, 3, 1), (9, 8, 6, 6, 5, 5, 5, 4, 3, 2))","(14, 14, 13, 13, 13, 13)",1,0,1,80,disk,"(2, 1, 0, 22, '(9, 9, 9)', (14, 14, 13, 13, 13, 13), ((9, 9, 9, 5, 5, 4, 4, 4, 3, 1), (9, 9, 7, 5, 5, 5, 5, 4, 3, 1), (9, 8, 6, 6, 5, 5, 5, 4, 3, 2)))"
T_0050,E000000051,proto,14,12,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[2,0]]","[[[-4,0]],[[3,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,1],[-1,2],[-1,3]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]],[[1,-1],[2,-1],[3,-1]]]",10,1,14,38,"(-5, 2)",kink,kink_bridge,three-axis,87ace0e6ea2e7a5e10fd27521d22f446c6ca543e,1,1,38,14,"{""1"":2,""3"":12}",2,0,14,-1,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 14, 38, 2, 0, 12, 1)",f72ee6cd4e5695691460cbb0b9b810e4fe32014c,1,51,14,"{""A"":10,""D"":1,""M"":2,""O"":38}",1,12,0.08333333333333333,51,2,74,23,"(10, 9, 8)",10,"((9, 9, 8, 5, 5, 5, 4, 3, 3), (9, 9, 6, 5, 4, 4, 4, 4, 3, 2, 1), (9, 7, 7, 5, 5, 5, 4, 4, 4, 1))","(14, 14, 13, 13, 13, 13)",1,0,1,80,disk,"(2, 1, 0, 23, '(10, 9, 8)', (14, 14, 13, 13, 13, 13), ((9, 9, 8, 5, 5, 5, 4, 3, 3), (9, 9, 6, 5, 4, 4, 4, 4, 3, 2, 1), (9, 7, 7, 5, 5, 5, 4, 4, 4, 1)))"
T_0074,E000000075,proto,14,12,1,"[[-4,0],[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[1,-1]]","[[[-5,0]],[[2,0]],[[-4,-1],[-3,-1]],[[2,-1],[3,-1]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,3],[-4,2],[-3,1]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,1],[-1,2],[-1,3]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]]]",11,1,14,36,"(-3, 1)",kink,kink_bridge,three-axis,06bc68f756ab02f1a93133496fbe532202852b59,1,1,36,14,"{""1"":2,""2"":2,""3"":10}",2,2,14,-1,0.0,"-5.511e-16,-3.926e-16,-2.22e-16,-1.722e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 14, 36, 2, 2, 10, 1)",c9a7b6ceb8288ffae5ef3c4d138ee67463224e24,1,50,14,"{""A"":11,""D"":1,""M"":2,""O"":36}",1,12,0.08333333333333333,50,2,74,24,"(10, 9, 8)",10,"((9, 9, 6, 5, 5, 4, 4, 4, 2, 1, 1), (9, 8, 8, 5, 5, 5, 4, 3, 3), (9, 7, 7, 5, 5, 5, 4, 4, 3, 1))","(14, 14, 13, 13, 13, 13)",1,0,1,80,disk,"(2, 1, 0, 24, '(10, 9, 8)', (14, 14, 13, 13, 13, 13), ((9, 9, 6, 5, 5, 4, 4, 4, 2, 1, 1), (9, 8, 8, 5, 5, 5, 4, 3, 3), (9, 7, 7, 5, 5, 5, 4, 4, 3, 1)))"
T_0070,E000000071,proto,12,10,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-3,-1],[-2,1]]","[[[-5,0]],[[2,0]],[[-5,-1],[-4,-1]],[[1,-1],[2,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]]]",10,0,12,30,"(-3, 1)",kink,kink_bridge,three-axis,db84e1589f91eb9d505009ae1390ebc366f62780,1,1,30,12,"{""1"":2,""2"":2,""3"":8}",2,2,12,-1,0.0,"-2.22e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(12, 10, 12, 30, 2, 2, 8, 1)",9c4209e8f6c39b92cf5f1bd2fe4b4a4af7a1f7a6,1,42,12,"{""A"":10,""M"":2,""O"":30}",1,12,0.08333333333333333,42,2,70,28,"(9, 9, 8)",9,"((9, 9, 4, 4, 4, 4, 4, 2, 2), (9, 9, 4, 4, 4, 3, 3, 3, 2, 1), (8, 8, 4, 4, 4, 4, 3, 3, 2, 2))","(20, 20, 19, 19, 12, 12)",1,0,1,102,disk,"(2, 1, 0, 28, '(9, 9, 8)', (20, 20, 19, 19, 12, 12), ((9, 9, 4, 4, 4, 4, 4, 2, 2), (9, 9, 4, 4, 4, 3, 3, 3, 2, 1), (8, 8, 4, 4, 4, 4, 3, 3, 2, 2)))"
T_0076,E000000077,proto,12,10,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-2,1],[0,1]]","[[[-5,0]],[[2,0]],[[0,-4],[0,-3]],[[0,2],[0,3]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,2],[-2,3],[-2,4]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",10,0,12,30,"(-2, 0)",rail,rail_ladder,three-axis,9f4212132dadfba18a80565709fbdaffe27cb163,1,1,30,12,"{""1"":2,""2"":2,""3"":8}",2,2,12,-1,0.0,"-1.11e-15,-3.939e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(12, 10, 12, 30, 2, 2, 8, 1)",9c4209e8f6c39b92cf5f1bd2fe4b4a4af7a1f7a6,1,42,12,"{""A"":10,""M"":2,""O"":30}",1,12,0.08333333333333333,42,2,70,28,"(9, 9, 8)",9,"((9, 9, 4, 4, 4, 3, 3, 3, 2, 1), (9, 8, 4, 4, 4, 4, 4, 3, 2), (9, 8, 4, 4, 4, 4, 3, 3, 2, 1))","(19, 19, 18, 18, 13, 13)",1,0,1,100,disk,"(2, 1, 0, 28, '(9, 9, 8)', (19, 19, 18, 18, 13, 13), ((9, 9, 4, 4, 4, 3, 3, 3, 2, 1), (9, 8, 4, 4, 4, 4, 4, 3, 2), (9, 8, 4, 4, 4, 4, 3, 3, 2, 1)))"
T_0044,E000000045,proto,11,9,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-2,1],[2,0]]","[[[-4,0]],[[3,0]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",9,1,11,29,"(-4, 1)",kink,kink_bridge,three-axis,72029f15fc36e45d0ebac64ba54c3737ce6f11c9,1,1,29,11,"{""1"":2,""3"":9}",2,0,11,-1,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 11, 29, 2, 0, 9, 1)",824dd96b836dd9b8866197019e78f2d5e58b7588,1,41,11,"{""A"":9,""D"":1,""M"":2,""O"":29}",1,12,0.08333333333333333,41,2,70,29,"(9, 9, 8)",9,"((9, 9, 4, 4, 3, 3, 3, 3, 2, 1), (9, 8, 4, 4, 4, 3, 3, 2, 2, 2), (9, 7, 4, 4, 4, 4, 4, 3, 2))","(19, 19, 18, 18, 14, 14)",2,0,2,102,disconnected,"(2, 2, 0, 29, '(9, 9, 8)', (19, 19, 18, 18, 14, 14), ((9, 9, 4, 4, 3, 3, 3, 3, 2, 1), (9, 8, 4, 4, 4, 3, 3, 2, 2, 2), (9, 7, 4, 4, 4, 4, 4, 3, 2)))"
T_0058,E000000059,proto,11,9,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-2,1],[1,-1]]","[[[-5,0]],[[2,0]],[[-4,-1],[-3,-1]],[[2,-1],[3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]]]",10,1,11,27,"(-3, 1)",kink,kink_bridge,three-axis,272a619e544f5ee148d5d2b76128cc48964de856,1,1,27,11,"{""1"":2,""2"":2,""3"":7}",2,2,11,-1,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0,0,1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 11, 27, 2, 2, 7, 1)",8f7fd7566e8138cdf2e3165867059ad25f652738,1,40,11,"{""A"":10,""D"":1,""M"":2,""O"":27}",1,12,0.08333333333333333,40,2,65,25,"(9, 8, 8)",9,"((9, 9, 4, 4, 4, 3, 3, 3, 1), (9, 7, 4, 4, 4, 4, 3, 3, 2), (8, 8, 4, 4, 4, 3, 3, 2, 2, 2))","(18, 18, 17, 17, 14, 14)",2,0,2,98,disconnected,"(2, 2, 0, 25, '(9, 8, 8)', (18, 18, 17, 17, 14, 14), ((9, 9, 4, 4, 4, 3, 3, 3, 1), (9, 7, 4, 4, 4, 4, 3, 3, 2), (8, 8, 4, 4, 4, 3, 3, 2, 2, 2)))"
