run,radius,k,attack_min_weight,turn,black_stones,white_stones,black_obligations,white_obligations,black_tau,white_tau,black_components,white_components,black_support,white_support,black_sector_counts,white_sector_counts,white_added,black_added
r18_t90_k6_w1,18,6,1,0,1,2,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1]","[[2, -1], [1, -2]]",[]
r18_t90_k6_w1,18,6,1,1,3,4,0,0,0,0,0,0,0,0,"[2, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1]","[[-1, -1], [-2, 1]]","[[0, 2], [3, 0]]"
r18_t90_k6_w1,18,6,1,2,5,6,0,0,0,0,0,0,0,0,"[2, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 3, 1]","[[2, -3], [1, -3]]","[[-3, 0], [-3, 3]]"
r18_t90_k6_w1,18,6,1,3,7,8,0,0,0,0,0,0,0,0,"[3, 1, 0, 2, 0, 0]","[0, 0, 1, 1, 4, 2]","[[4, -3], [2, -4]]","[[0, 3], [-4, 0]]"
r18_t90_k6_w1,18,6,1,4,9,10,0,0,0,0,0,0,0,0,"[3, 2, 0, 3, 0, 0]","[0, 0, 1, 1, 4, 4]","[[5, -1], [5, -4]]","[[-4, 4], [0, -5]]"
r18_t90_k6_w1,18,6,1,5,11,12,1,0,1,0,1,0,2,0,"[3, 2, 1, 4, 0, 0]","[1, 1, 1, 1, 4, 4]","[[-1, 5], [4, 1]]","[[-5, 0], [-5, 2]]"
r18_t90_k6_w1,18,6,1,6,13,14,1,0,1,0,1,0,2,0,"[3, 2, 1, 5, 1, 0]","[1, 1, 1, 1, 4, 6]","[[6, -1], [6, -2]]","[[3, -6], [0, -6]]"
r18_t90_k6_w1,18,6,1,7,15,16,3,4,2,2,1,2,4,6,"[3, 2, 2, 6, 1, 0]","[1, 1, 1, 1, 4, 8]","[[6, -4], [6, -5]]","[[-6, 0], [-6, 2]]"
r18_t90_k6_w1,18,6,1,8,17,18,3,4,2,2,1,2,4,6,"[4, 2, 3, 6, 1, 0]","[1, 3, 1, 1, 4, 8]","[[-2, 6], [-1, 6]]","[[-6, 3], [3, 3]]"
r18_t90_k6_w1,18,6,1,9,19,20,3,4,2,2,1,2,4,6,"[4, 2, 3, 7, 2, 0]","[1, 3, 1, 1, 4, 10]","[[7, -2], [7, -3]]","[[3, -7], [0, -7]]"
r18_t90_k6_w1,18,6,1,10,21,22,3,4,2,2,1,2,4,6,"[4, 2, 3, 9, 2, 0]","[1, 3, 2, 1, 4, 11]","[[7, -5], [-7, 5]]","[[-2, -5], [-5, -2]]"
r18_t90_k6_w1,18,6,1,11,23,24,3,4,2,2,1,2,4,6,"[6, 2, 3, 9, 2, 0]","[1, 4, 3, 1, 4, 11]","[[-7, 6], [-2, 7]]","[[3, 4], [8, 0]]"
r18_t90_k6_w1,18,6,1,12,25,26,6,4,3,2,2,2,8,6,"[6, 2, 3, 11, 2, 0]","[1, 4, 3, 1, 6, 11]","[[8, -8], [7, -8]]","[[0, -8], [-1, -7]]"
r18_t90_k6_w1,18,6,1,13,27,28,6,4,3,2,2,2,8,6,"[6, 2, 5, 11, 2, 0]","[1, 4, 3, 2, 7, 11]","[[6, -8], [-7, -1]]","[[-8, 1], [-8, 2]]"
r18_t90_k6_w1,18,6,1,14,29,30,9,4,3,2,2,2,11,6,"[6, 2, 7, 11, 2, 0]","[2, 5, 3, 2, 7, 11]","[[-7, 8], [1, 7]]","[[-8, 3], [-8, 4]]"
r18_t90_k6_w1,18,6,1,15,31,32,9,4,3,2,2,2,11,6,"[6, 2, 7, 11, 4, 0]","[3, 5, 3, 2, 7, 12]","[[2, 6], [9, -2]]","[[4, -9], [3, -9]]"
r18_t90_k6_w1,18,6,1,16,33,34,12,5,3,3,4,3,14,8,"[6, 2, 7, 12, 5, 0]","[3, 5, 3, 2, 7, 14]","[[9, -3], [9, -4]]","[[1, -9], [0, -9]]"
r18_t90_k6_w1,18,6,1,17,35,36,13,11,3,3,5,6,16,15,"[6, 2, 7, 14, 5, 0]","[3, 5, 3, 2, 7, 16]","[[9, -5], [9, -6]]","[[-1, -8], [-2, -7]]"
r18_t90_k6_w1,18,6,1,18,37,38,17,15,3,3,7,7,20,20,"[6, 2, 7, 16, 5, 0]","[3, 5, 3, 2, 7, 18]","[[9, -7], [9, -8]]","[[-3, -6], [-4, -5]]"
r18_t90_k6_w1,18,6,1,19,39,40,17,15,3,3,6,7,19,20,"[6, 2, 7, 18, 5, 0]","[3, 5, 5, 2, 7, 18]","[[-9, 7], [-9, 8]]","[[-5, -4], [-6, -3]]"
r18_t90_k6_w1,18,6,1,20,41,42,17,17,3,3,6,8,19,23,"[7, 2, 7, 19, 5, 0]","[3, 7, 5, 2, 7, 18]","[[-7, 9], [-6, 9]]","[[-9, 0], [0, 9]]"
r18_t90_k6_w1,18,6,1,21,43,44,17,17,3,3,6,8,19,23,"[7, 2, 7, 19, 7, 0]","[4, 7, 5, 2, 7, 19]","[[7, 2], [10, -1]]","[[5, -10], [4, -10]]"
