run,radius,k,attack_min_weight,turn,black_stones,white_stones,black_obligations,white_obligations,black_tau,white_tau,black_components,white_components,black_support,white_support,black_sector_counts,white_sector_counts,white_added,black_added
r8_t18_k6_w1,8,6,1,0,1,2,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1]","[[2, -1], [1, -2]]",[]
r8_t18_k6_w1,8,6,1,1,3,4,0,0,0,0,0,0,0,0,"[2, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1]","[[-1, -1], [-2, 1]]","[[0, 2], [3, 0]]"
r8_t18_k6_w1,8,6,1,2,5,6,0,0,0,0,0,0,0,0,"[2, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 3, 1]","[[2, -3], [1, -3]]","[[-3, 0], [-3, 3]]"
r8_t18_k6_w1,8,6,1,3,7,8,0,0,0,0,0,0,0,0,"[3, 1, 0, 2, 0, 0]","[0, 0, 1, 1, 4, 2]","[[4, -3], [2, -4]]","[[0, 3], [-4, 0]]"
r8_t18_k6_w1,8,6,1,4,9,10,0,0,0,0,0,0,0,0,"[3, 2, 0, 3, 0, 0]","[0, 0, 1, 1, 4, 4]","[[5, -1], [5, -4]]","[[-4, 4], [0, -5]]"
r8_t18_k6_w1,8,6,1,5,11,12,1,0,1,0,1,0,2,0,"[3, 2, 1, 4, 0, 0]","[1, 1, 1, 1, 4, 4]","[[-1, 5], [4, 1]]","[[-5, 0], [-5, 2]]"
r8_t18_k6_w1,8,6,1,6,13,14,1,0,1,0,1,0,2,0,"[3, 2, 1, 5, 1, 0]","[1, 1, 1, 1, 4, 6]","[[6, -1], [6, -2]]","[[3, -6], [0, -6]]"
r8_t18_k6_w1,8,6,1,7,15,16,3,4,2,2,1,2,4,6,"[3, 2, 2, 6, 1, 0]","[1, 1, 1, 1, 4, 8]","[[6, -4], [6, -5]]","[[-6, 0], [-6, 2]]"
r8_t18_k6_w1,8,6,1,8,17,18,3,4,2,2,1,2,4,6,"[4, 2, 3, 6, 1, 0]","[1, 3, 1, 1, 4, 8]","[[-2, 6], [-1, 6]]","[[-6, 3], [3, 3]]"
r8_t18_k6_w1,8,6,1,9,19,20,3,4,2,2,1,2,4,6,"[4, 2, 3, 7, 2, 0]","[1, 3, 1, 1, 4, 10]","[[7, -2], [7, -3]]","[[3, -7], [0, -7]]"
r8_t18_k6_w1,8,6,1,10,21,22,3,4,2,2,1,2,4,6,"[4, 2, 3, 9, 2, 0]","[1, 3, 2, 1, 4, 11]","[[7, -5], [-7, 5]]","[[-2, -5], [-5, -2]]"
r8_t18_k6_w1,8,6,1,11,23,24,3,4,2,2,1,2,4,6,"[6, 2, 3, 9, 2, 0]","[1, 4, 3, 1, 4, 11]","[[-7, 6], [-2, 7]]","[[3, 4], [8, 0]]"
r8_t18_k6_w1,8,6,1,12,25,26,4,4,3,2,2,2,6,6,"[6, 2, 3, 11, 2, 0]","[1, 4, 3, 1, 6, 11]","[[8, -8], [7, -8]]","[[0, -8], [-1, -7]]"
r8_t18_k6_w1,8,6,1,13,27,28,4,4,3,2,2,2,6,6,"[6, 2, 5, 11, 2, 0]","[1, 4, 3, 2, 7, 11]","[[6, -8], [-7, -1]]","[[-8, 1], [-8, 2]]"
r8_t18_k6_w1,8,6,1,14,29,30,6,4,4,2,2,2,8,6,"[6, 2, 7, 11, 2, 0]","[2, 5, 3, 2, 7, 11]","[[-7, 8], [1, 7]]","[[-8, 3], [-8, 4]]"
r8_t18_k6_w1,8,6,1,15,29,31,6,4,4,2,2,2,8,6,"[6, 2, 7, 11, 2, 0]","[3, 5, 3, 2, 7, 11]","[[2, 6]]",[]
r8_t18_k6_w3,8,6,3,0,1,2,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1]","[[2, -1], [1, -2]]",[]
r8_t18_k6_w3,8,6,3,1,3,4,0,0,0,0,0,0,0,0,"[2, 0, 0, 0, 0, 0]","[0, 0, 1, 1, 1, 1]","[[-1, -1], [-2, 1]]","[[0, 2], [3, 0]]"
r8_t18_k6_w3,8,6,3,2,5,6,0,0,0,0,0,0,0,0,"[2, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 3, 1]","[[2, -3], [1, -3]]","[[-3, 0], [-3, 3]]"
r8_t18_k6_w3,8,6,3,3,7,8,0,0,0,0,0,0,0,0,"[3, 2, 0, 1, 0, 0]","[0, 0, 1, 1, 3, 3]","[[4, -2], [4, -3]]","[[-1, 3], [0, 3]]"
r8_t18_k6_w3,8,6,3,4,9,10,0,1,0,1,0,1,0,2,"[4, 2, 0, 2, 0, 0]","[0, 0, 1, 1, 5, 3]","[[4, -4], [3, -4]]","[[1, 2], [-4, 0]]"
r8_t18_k6_w3,8,6,3,5,11,12,0,4,0,3,0,2,0,6,"[4, 4, 0, 2, 0, 0]","[0, 0, 1, 1, 7, 3]","[[2, -4], [1, -4]]","[[-4, 4], [-3, 4]]"
r8_t18_k6_w3,8,6,3,6,13,14,6,5,3,3,3,3,9,6,"[5, 5, 0, 2, 0, 0]","[0, 0, 1, 2, 7, 4]","[[0, -4], [5, -1]]","[[-1, 4], [0, 4]]"
r8_t18_k6_w3,8,6,3,7,15,16,8,7,4,4,4,4,12,9,"[6, 5, 0, 3, 0, 0]","[0, 0, 1, 2, 7, 6]","[[5, -3], [5, -4]]","[[1, 3], [-3, -2]]"
r8_t18_k6_w3,8,6,3,8,17,18,9,14,4,4,5,5,14,17,"[6, 5, 1, 4, 0, 0]","[0, 0, 1, 2, 9, 6]","[[5, -5], [4, -5]]","[[-5, 0], [-5, 2]]"
r8_t18_k6_w3,8,6,3,9,19,20,11,21,4,4,6,7,17,26,"[6, 6, 2, 4, 0, 0]","[0, 0, 1, 2, 11, 6]","[[3, -5], [2, -5]]","[[-5, 3], [-5, 5]]"
r8_t18_k6_w3,8,6,3,10,21,22,12,25,4,4,7,9,19,30,"[6, 8, 2, 4, 0, 0]","[1, 0, 1, 2, 12, 6]","[[1, -5], [4, 1]]","[[-4, 5], [-3, 5]]"
r8_t18_k6_w3,8,6,3,11,23,24,18,25,4,4,8,9,23,30,"[6, 10, 2, 4, 0, 0]","[1, 0, 1, 2, 12, 8]","[[6, -1], [6, -2]]","[[-2, 5], [-1, 5]]"
r8_t18_k6_w3,8,6,3,12,25,26,20,29,4,4,9,9,25,34,"[7, 10, 2, 5, 0, 0]","[1, 0, 1, 2, 12, 10]","[[6, -4], [6, -5]]","[[0, 5], [-3, -3]]"
r8_t18_k6_w3,8,6,3,13,27,28,21,33,4,4,9,10,26,35,"[7, 10, 2, 7, 0, 0]","[1, 0, 1, 2, 14, 10]","[[6, -6], [5, -6]]","[[-4, -2], [-5, -1]]"
r8_t18_k6_w3,8,6,3,14,29,30,26,39,4,4,10,10,32,37,"[7, 10, 3, 8, 0, 0]","[1, 0, 1, 2, 16, 10]","[[4, -6], [3, -6]]","[[-6, 0], [-6, 1]]"
