opening_id,pair,orbit_size,max_radius,min_pair_distance,black_bulk_pressure,white_bulk_pressure,root_lines_blocked,white_two_lines,static_vulnerability
O0001,"[[-1, 0], [-1, 1]]",6,1,1,1.6,8.200001,10,5,-12.350001
O0002,"[[-1, 0], [0, 1]]",6,1,2,1.6,5.2,10,0,-11.1
O0003,"[[-1, 0], [1, 0]]",3,1,2,2.4,5.2,6,0,-7.3
O0004,"[[-2, 0], [-2, 1]]",12,2,1,2.8,8.400001,4,5,-6.85
O0005,"[[-2, 0], [-2, 2]]",6,2,2,2.0,6.8,8,4,-9.4
O0006,"[[-2, 0], [-1, 0]]",6,2,1,2.6,5.4,5,1,-6.2
O0007,"[[-2, 0], [-1, 1]]",12,2,2,1.8,4.8,9,0,-9.75
O0008,"[[-2, 0], [-1, 2]]",12,2,3,2.8,5.4,4,0,-5.6
O0009,"[[-2, 0], [0, 1]]",12,2,3,1.8,4.8,9,0,-9.75
O0010,"[[-2, 0], [0, 2]]",6,2,4,2.0,4.4,8,0,-8.4
O0011,"[[-2, 0], [1, 0]]",6,2,3,2.4,4.8,6,0,-6.9
O0012,"[[-2, 0], [1, 1]]",12,2,4,2.8,5.4,4,0,-5.6
O0013,"[[-2, 0], [2, 0]]",3,2,4,2.4,4.4,6,0,-6.5
O0014,"[[-2, 1], [-1, -1]]",6,2,2,3.6,6.4,0,0,-2.8
O0015,"[[-2, 1], [-1, 0]]",12,2,1,2.6,8.799999,5,5,-8.199999
O0016,"[[-2, 1], [0, -1]]",12,2,2,2.6,8.200001,5,4,-7.950001
O0017,"[[-2, 1], [1, -2]]",6,2,3,3.6,8.2,0,3,-3.55
O0018,"[[-2, 1], [1, -1]]",12,2,3,2.6,5.8,5,0,-6.95
O0019,"[[-2, 1], [2, -1]]",3,2,4,3.6,6.400001,0,0,-2.800001
O0020,"[[-3, 0], [-3, 1]]",12,3,1,3.0,6.8,3,4,-4.65
O0021,"[[-3, 0], [-3, 2]]",12,3,2,3.0,6.8,3,4,-4.65
O0022,"[[-3, 0], [-3, 3]]",6,3,3,2.4,5.400001,6,3,-6.45
O0023,"[[-3, 0], [-2, 0]]",6,3,1,2.8,4.6,4,1,-4.45
O0024,"[[-3, 0], [-2, 1]]",12,3,2,3.0,5.0,3,0,-4.25
O0025,"[[-3, 0], [-2, 2]]",12,3,3,2.2,4.0,7,0,-7.05
O0026,"[[-3, 0], [-2, 3]]",12,3,4,3.0,4.4,3,0,-3.65
O0027,"[[-3, 0], [-1, 0]]",6,3,2,2.6,5.0,5,1,-5.8
O0028,"[[-3, 0], [-1, 1]]",12,3,3,2.0,4.4,8,0,-8.4
O0029,"[[-3, 0], [-1, 2]]",12,3,4,3.0,5.0,3,0,-4.25
O0030,"[[-3, 0], [-1, 3]]",12,3,5,3.0,4.4,3,0,-3.65
O0031,"[[-3, 0], [0, 1]]",12,3,4,2.0,4.4,8,0,-8.4
O0032,"[[-3, 0], [0, 2]]",12,3,5,2.2,4.0,7,0,-7.05
O0033,"[[-3, 0], [0, 3]]",6,3,6,2.4,3.6,6,0,-5.7
O0034,"[[-3, 0], [1, 0]]",6,3,4,2.4,4.4,6,0,-6.5
O0035,"[[-3, 0], [1, 1]]",12,3,5,3.0,5.0,3,0,-4.25
O0036,"[[-3, 0], [1, 2]]",12,3,6,3.0,4.4,3,0,-3.65
O0037,"[[-3, 0], [2, 0]]",6,3,5,2.4,4.0,6,0,-6.1
O0038,"[[-3, 0], [2, 1]]",12,3,6,3.0,4.4,3,0,-3.65
O0039,"[[-3, 0], [3, 0]]",3,3,6,2.4,3.6,6,0,-5.7
O0040,"[[-3, 1], [-3, 2]]",6,3,1,3.6,8.2,0,5,-2.85
O0041,"[[-3, 1], [-2, -1]]",6,3,2,3.6,5.2,0,0,-1.6
O0042,"[[-3, 1], [-2, 0]]",12,3,1,2.8,7.2,4,4,-6.0
O0043,"[[-3, 1], [-2, 1]]",12,3,1,3.6,8.200001,0,4,-3.200001
O0044,"[[-3, 1], [-2, 2]]",12,3,2,2.8,4.8,4,0,-5.0
O0045,"[[-3, 1], [-2, 3]]",12,3,3,3.6,5.2,0,0,-1.6
O0046,"[[-3, 1], [-1, -1]]",12,3,2,3.6,8.200001,0,4,-3.200001
O0047,"[[-3, 1], [-1, 0]]",12,3,2,2.6,5.2,5,0,-6.35
O0048,"[[-3, 1], [-1, 1]]",12,3,2,2.6,7.6,5,4,-7.35
O0049,"[[-3, 1], [-1, 2]]",12,3,3,3.6,5.8,0,0,-2.2
O0050,"[[-3, 1], [-1, 3]]",6,3,4,3.6,5.2,0,0,-1.6
O0051,"[[-3, 1], [0, -2]]",12,3,3,2.8,6.6,4,3,-5.75
O0052,"[[-3, 1], [0, -1]]",12,3,3,2.6,5.2,5,0,-6.35
O0053,"[[-3, 1], [0, 1]]",12,3,3,2.6,7.0,5,3,-7.1
O0054,"[[-3, 1], [0, 2]]",12,3,4,2.8,4.8,4,0,-5.0
O0055,"[[-3, 1], [1, -3]]",6,3,4,3.6,6.4,0,2,-2.1
O0056,"[[-3, 1], [1, -2]]",12,3,4,3.6,5.8,0,0,-2.2
O0057,"[[-3, 1], [1, -1]]",12,3,4,2.6,5.2,5,0,-6.35
O0058,"[[-3, 1], [1, 0]]",12,3,4,2.6,5.2,5,0,-6.35
O0059,"[[-3, 1], [1, 1]]",12,3,4,3.6,7.0,0,2,-2.700001
O0060,"[[-3, 1], [1, 2]]",12,3,5,3.6,5.2,0,0,-1.6
O0061,"[[-3, 1], [2, -2]]",12,3,5,2.8,4.8,4,0,-5.0
O0062,"[[-3, 1], [2, -1]]",12,3,5,3.6,5.8,0,0,-2.2
O0063,"[[-3, 1], [2, 0]]",12,3,5,2.8,4.8,4,0,-5.0
O0064,"[[-3, 1], [2, 1]]",6,3,5,3.6,5.800001,0,1,-1.850001
O0065,"[[-3, 1], [3, -2]]",6,3,6,3.6,5.2,0,0,-1.6
O0066,"[[-3, 1], [3, -1]]",6,3,6,3.6,5.2,0,0,-1.6
O0067,"[[-4, 0], [-4, 1]]",12,4,1,3.2,5.2,2,3,-2.45
O0068,"[[-4, 0], [-4, 2]]",12,4,2,3.2,5.2,2,3,-2.45
O0069,"[[-4, 0], [-4, 3]]",12,4,3,3.2,5.2,2,3,-2.45
O0070,"[[-4, 0], [-4, 4]]",6,4,4,2.8,4.0,4,2,-3.5
O0071,"[[-4, 0], [-3, 0]]",6,4,1,3.0,3.8,3,1,-2.7
O0072,"[[-4, 0], [-3, 1]]",12,4,2,3.2,4.0,2,0,-2.3
O0073,"[[-4, 0], [-3, 2]]",12,4,3,3.2,4.0,2,0,-2.3
O0074,"[[-4, 0], [-3, 3]]",12,4,4,2.6,3.2,5,0,-4.35
O0075,"[[-4, 0], [-3, 4]]",12,4,5,3.2,3.4,2,0,-1.7
O0076,"[[-4, 0], [-2, 0]]",6,4,2,2.8,4.2,4,1,-4.05
