opening_id,radius,effective_depth,effective_candidate_cells,white_pair,best_black_reply,score,nodes,cache_hits,estimated_tree_nodes,naive_leaf_nodes,pruning_mode,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation,wlu
O0040,3,3,10,"[[-3, 1], [-3, 2]]","[[1, 0], [1, -1]]",6621.73,2503,262,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.8,0.4,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.73}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.73}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.73}]",U
O0041,3,3,10,"[[-3, 1], [-2, -1]]","[[1, 0], [1, -1]]",6621.66,2887,138,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0045,3,3,10,"[[-3, 1], [-2, 3]]","[[1, 0], [1, -1]]",6621.66,3541,81,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0050,3,3,10,"[[-3, 1], [-1, 3]]","[[1, 0], [0, 1]]",6621.66,3011,149,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.66}]",U
O0055,3,3,10,"[[-3, 1], [1, -3]]","[[0, -1], [-1, 0]]",6621.73,3667,232,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.8,0.4,"[{""move"": [[0, -1], [-1, 0]], ""player"": ""black"", ""score"": 6621.73}, {""move"": [[1, 0], [0, 1]], ""player"": ""white"", ""score"": 6621.73}, {""move"": [[1, -2], [-2, 1]], ""player"": ""black"", ""score"": 6621.73}]",U
O0060,3,3,10,"[[-3, 1], [1, 2]]","[[0, -1], [-1, 0]]",6621.73,4590,177,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.8,0.4,"[{""move"": [[0, -1], [-1, 0]], ""player"": ""black"", ""score"": 6621.73}, {""move"": [[1, 0], [0, 1]], ""player"": ""white"", ""score"": 6621.73}, {""move"": [[1, -2], [-2, 1]], ""player"": ""black"", ""score"": 6621.73}]",U
O0065,3,3,10,"[[-3, 1], [3, -2]]","[[1, 0], [1, -1]]",6621.66,2659,136,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0066,3,3,10,"[[-3, 1], [3, -1]]","[[1, 0], [1, -1]]",6621.66,2962,162,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0046,3,3,10,"[[-3, 1], [-1, -1]]","[[1, 0], [0, 1]]",6621.66,4111,90,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.4,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.66}]",U
O0049,3,3,10,"[[-3, 1], [-1, 2]]","[[1, -1], [0, -1]]",6621.03,4285,71,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.8,0.6,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.03}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.03}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.03}]",U
O0056,3,3,10,"[[-3, 1], [1, -2]]","[[1, 0], [0, 1]]",6620.89,4044,223,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6620.89}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6620.89}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6620.89}]",U
O0062,3,3,10,"[[-3, 1], [2, -1]]","[[-1, 0], [-1, 1]]",6621.66,3950,92,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.4,"[{""move"": [[-1, 0], [-1, 1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[1, 0], [1, -1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[-1, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.66}]",U
O0014,3,3,10,"[[-2, 1], [-1, -1]]","[[1, 0], [1, -1]]",6620.96,2928,123,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.6,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6620.96}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6620.96}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6620.96}]",U
O0019,3,3,10,"[[-2, 1], [2, -1]]","[[1, 0], [1, -1]]",6621.59,2015,250,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.4,0.4,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0064,3,3,10,"[[-3, 1], [2, 1]]","[[1, 0], [0, 1]]",6621.66,3443,191,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.0,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.66}]",U
O0020,3,3,10,"[[-3, 0], [-3, 1]]","[[1, -1], [0, -1]]",6620.96,4038,211,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.96}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.96}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.96}]",U
O0021,3,3,10,"[[-3, 0], [-3, 2]]","[[-1, 0], [-1, 1]]",6621.66,4454,273,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,4.6,0.0,"[{""move"": [[-1, 0], [-1, 1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[1, 0], [1, -1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[-1, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.66}]",U
O0026,3,3,10,"[[-3, 0], [-2, 3]]","[[1, 0], [1, -1]]",6621.66,4098,204,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,4.6,0.0,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0030,3,3,10,"[[-3, 0], [-1, 3]]","[[1, -1], [0, -1]]",6621.66,4123,255,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0036,3,3,10,"[[-3, 0], [1, 2]]","[[1, 0], [0, 1]]",6621.66,4350,211,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,4.6,0.0,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.66}]",U
O0038,3,3,10,"[[-3, 0], [2, 1]]","[[1, -1], [0, -1]]",6620.96,4038,211,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.96}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.96}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.96}]",U
O0043,3,3,10,"[[-3, 1], [-2, 1]]","[[-1, 0], [-1, 1]]",6621.59,4923,238,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.0,"[{""move"": [[-1, 0], [-1, 1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[1, 0], [1, -1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[-1, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.59}]",U
O0059,3,3,10,"[[-3, 1], [1, 1]]","[[1, 0], [0, 1]]",6621.59,4722,181,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.0,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.59}]",U
O0024,3,3,10,"[[-3, 0], [-2, 1]]","[[-1, 0], [-1, 1]]",6621.59,4257,330,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[-1, 0], [-1, 1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[1, 0], [1, -1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[-1, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.59}]",U
O0029,3,3,10,"[[-3, 0], [-1, 2]]","[[1, -1], [0, -1]]",6621.66,4923,188,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.6,0.4,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.66}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.66}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.66}]",U
O0035,3,3,10,"[[-3, 0], [1, 1]]","[[1, 0], [0, 1]]",6621.59,4110,182,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.59}]",U
O0017,3,3,10,"[[-2, 1], [1, -2]]","[[1, -1], [0, -1]]",6620.89,3402,289,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.89}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.89}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.89}]",U
O0013,3,3,10,"[[-2, 0], [2, 0]]","[[1, -1], [0, -1]]",6621.59,1629,174,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.0,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0022,3,3,10,"[[-3, 0], [-3, 3]]","[[1, 0], [1, -1]]",6621.73,2641,303,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,3.8,0.0,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.73}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.73}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.73}]",U
O0023,3,3,10,"[[-3, 0], [-2, 0]]","[[1, -1], [0, -1]]",6621.59,2983,161,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.0,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0033,3,3,10,"[[-3, 0], [0, 3]]","[[1, 0], [0, 1]]",6621.73,3425,226,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,3.8,0.0,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.73}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.73}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.73}]",U
O0037,3,3,10,"[[-3, 0], [2, 0]]","[[1, -1], [0, -1]]",6621.59,2983,161,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.0,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0039,3,3,10,"[[-3, 0], [3, 0]]","[[1, -1], [0, -1]]",6621.59,1629,174,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.0,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0042,3,3,10,"[[-3, 1], [-2, 0]]","[[1, -1], [0, -1]]",6620.89,3668,170,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.89}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.89}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.89}]",U
O0044,3,3,10,"[[-3, 1], [-2, 2]]","[[0, -1], [-1, 0]]",6621.59,4088,242,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[0, -1], [-1, 0]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[1, 0], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[1, -2], [-2, 1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0051,3,3,10,"[[-3, 1], [0, -2]]","[[1, 0], [1, -1]]",6621.59,3218,145,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0054,3,3,10,"[[-3, 1], [0, 2]]","[[1, 0], [1, -1]]",6621.59,3218,145,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0061,3,3,10,"[[-3, 1], [2, -2]]","[[0, -1], [-1, 0]]",6621.59,4088,242,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[0, -1], [-1, 0]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[1, 0], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[1, -2], [-2, 1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0063,3,3,10,"[[-3, 1], [2, 0]]","[[1, -1], [0, -1]]",6620.89,3668,170,93196,176558481,alpha_beta,black_bulk_edge,0,0,0,0,5.4,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.89}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.89}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.89}]",U
O0004,3,3,10,"[[-2, 0], [-2, 1]]","[[1, -1], [0, -1]]",6620.82,3356,204,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.82}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.82}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.82}]",U
O0006,3,3,10,"[[-2, 0], [-1, 0]]","[[1, -1], [0, -1]]",6621.52,2515,231,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.52}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.52}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.52}]",U
O0008,3,3,10,"[[-2, 0], [-1, 2]]","[[1, -1], [0, -1]]",6621.59,3824,281,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.4,0.4,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.59}]",U
O0011,3,3,10,"[[-2, 0], [1, 0]]","[[1, -1], [0, -1]]",6621.52,2301,214,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.52}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.52}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.52}]",U
O0012,3,3,10,"[[-2, 0], [1, 1]]","[[1, -1], [0, -1]]",6620.82,3780,292,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.82}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.82}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.82}]",U
O0027,3,3,10,"[[-3, 0], [-1, 0]]","[[1, -1], [0, -1]]",6621.52,2515,231,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.52}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.52}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.52}]",U
O0034,3,3,10,"[[-3, 0], [1, 0]]","[[1, -1], [0, -1]]",6621.52,2301,210,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.2,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.52}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.52}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.52}]",U
O0047,3,3,10,"[[-3, 1], [-1, 0]]","[[1, -1], [0, -1]]",6620.82,3108,205,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.4,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.82}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.82}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.82}]",U
O0052,3,3,10,"[[-3, 1], [0, -1]]","[[1, 0], [1, -1]]",6621.52,2860,240,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.4,"[{""move"": [[1, 0], [1, -1]], ""player"": ""black"", ""score"": 6621.52}, {""move"": [[-1, 0], [-1, 1]], ""player"": ""white"", ""score"": 6621.52}, {""move"": [[1, -2], [1, 1]], ""player"": ""black"", ""score"": 6621.52}]",U
O0057,3,3,10,"[[-3, 1], [1, -1]]","[[0, -1], [-1, 0]]",6621.52,3654,322,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.4,"[{""move"": [[0, -1], [-1, 0]], ""player"": ""black"", ""score"": 6621.52}, {""move"": [[1, 0], [0, 1]], ""player"": ""white"", ""score"": 6621.52}, {""move"": [[1, -2], [-2, 1]], ""player"": ""black"", ""score"": 6621.52}]",U
O0058,3,3,10,"[[-3, 1], [1, 0]]","[[1, -1], [0, -1]]",6620.82,2941,189,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.2,0.4,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6620.82}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6620.82}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6620.82}]",U
O0003,3,3,10,"[[-1, 0], [1, 0]]","[[1, -1], [0, -1]]",6621.45,1004,200,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.0,0.4,"[{""move"": [[1, -1], [0, -1]], ""player"": ""black"", ""score"": 6621.45}, {""move"": [[-1, 1], [0, 1]], ""player"": ""white"", ""score"": 6621.45}, {""move"": [[2, -1], [-1, -1]], ""player"": ""black"", ""score"": 6621.45}]",U
O0018,3,3,10,"[[-2, 1], [1, -1]]","[[1, 0], [0, 1]]",6620.75,3014,329,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,5.0,0.4,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6620.75}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6620.75}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6620.75}]",U
O0025,3,3,10,"[[-3, 0], [-2, 2]]","[[1, 0], [0, 1]]",6621.59,4381,386,93196,176558481,alpha_beta,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, 0], [0, 1]], ""player"": ""black"", ""score"": 6621.59}, {""move"": [[0, -1], [-1, 0]], ""player"": ""white"", ""score"": 6621.59}, {""move"": [[2, -1], [-1, 2]], ""player"": ""black"", ""score"": 6621.59}]",U
