black_strategy,white_strategy,turn,white_move,black_move,winner,black_stones,white_stones,black_tau,white_tau,black_obligations,white_obligations,black_pair_atoms,white_pair_atoms,black_bulk_pressure,white_bulk_pressure,black_family_max,white_family_max,value_after_white,value_after_black
attacker,earliest,0,"[[1, 0], [1, -1]]","[[0, -1], [0, 1]]",,3,2,0,0,0,0,0,0,17.599999999999998,6.2,0,0,0.0,-13.2
attacker,earliest,1,"[[1, -2], [0, -2]]","[[0, 2], [0, 3]]",,5,4,1,0,2,0,0,0,41.800000000000026,21.199999999999996,2,0,0.0,-8271.35
attacker,earliest,2,"[[2, -2], [1, 1]]","[[3, -2], [0, 4]]",black,7,6,1,2,2,3,0,0,1039.0000000000005,39.599999999999994,2,3,0.0,-1000000000.0
attacker,min_tau,0,"[[1, 0], [1, -1]]","[[0, -1], [0, 1]]",,3,2,0,0,0,0,0,0,17.599999999999998,6.2,0,0,0,-13.2
attacker,min_tau,1,"[[1, -2], [1, 1]]","[[0, -2], [1, -3]]",,5,4,2,1,3,1,0,0,38.6,14.200000000000001,3,1,-800,-14878.95
attacker,min_tau,2,"[[1, 2], [1, 3]]",[],white,5,6,2,1,3,2,0,0,38.6,1038.4,3,2,-1000000000.0,
attacker,min_atoms,0,"[[1, 0], [1, -1]]","[[0, -1], [0, 1]]",,3,2,0,0,0,0,0,0,17.599999999999998,6.2,0,0,0,-13.2
attacker,min_atoms,1,"[[1, -2], [0, -2]]","[[0, 2], [0, 3]]",,5,4,1,0,2,0,0,0,41.800000000000026,21.199999999999996,2,0,0,-8271.35
attacker,min_atoms,2,"[[2, -2], [0, 4]]","[[1, 1], [1, 2]]",,7,6,0,0,0,0,0,0,20.599999999999998,22.799999999999994,0,0,0,-15.45
attacker,min_atoms,3,"[[-1, 1], [2, 0]]","[[2, 1], [5, -2]]",,9,8,1,0,1,0,0,0,30.399999999999995,21.399999999999995,1,0,0,-8142.8
attacker,min_atoms,4,"[[-2, 2], [3, 0]]","[[-1, 4], [5, 0]]",,11,10,1,0,1,0,0,0,17.4,21.999999999999993,1,0,0,-8133.05
attacker,min_atoms,5,"[[3, -2], [-2, 5]]","[[-1, -2], [3, 1]]",,13,12,1,0,1,0,0,0,15.8,14.199999999999996,1,0,0,-8131.85
attacker,min_atoms,6,"[[-2, 1], [4, 1]]","[[-2, -1], [1, -4]]",,15,14,0,0,0,0,0,0,18.799999999999997,15.199999999999994,0,0,0,-14.099999999999998
attacker,min_atoms,7,"[[-2, 0], [0, -3]]","[[-2, 3], [5, -4]]",,17,16,0,0,0,0,0,0,19.2,12.599999999999996,0,0,0,-14.399999999999999
attacker,min_atoms,8,"[[-1, -1], [-3, 1]]","[[5, -1], [5, -3]]",,19,18,2,2,3,3,0,0,70.0,41.8,3,3,0,-13382.5
attacker,min_atoms,9,"[[1, -3], [2, -4]]",[],white,19,20,2,2,3,4,0,0,67.4,1085.0,3,4,-1000000000.0,
attacker,min_bulk,0,"[[1, 0], [1, -1]]","[[0, -1], [0, 1]]",,3,2,0,0,0,0,0,0,17.599999999999998,6.2,0,0,-1.2700000000000011,-13.2
