template_id,canonical_signature,abstract_incidence_signature,kind,family,tau,pressure,num_obligations,is_abstract_atom,contained_abstract_atom_count,contained_abstract_atoms
T_0001,2a430e490927cc5e285900db0baf1ee232b04da5,1a890b08f0c646e2f311b3703d42b181b368309f,proto,rail_ladder,4,2,4,0,1,"[""T_0243""]"
T_0002,9c1e6f2a3a0dd688a13d567d94dc42d0d49f7150,1a890b08f0c646e2f311b3703d42b181b368309f,proto,adjacent,4,2,4,0,1,"[""T_0243""]"
T_0003,7535cc79660de82b75a14f294925c232737a7a4e,078b0651af8b3bfa10be72bf5c01ee8d508b2f45,proto,rail_ladder,3,1,3,0,0,[]
T_0078,00a30e695aa5483600aa4e0055d1f568fd752370,c063a334656a7fce3fd74902948e919fa4cc50cf,proto,kink_bridge,15,13,15,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0050,87ace0e6ea2e7a5e10fd27521d22f446c6ca543e,f72ee6cd4e5695691460cbb0b9b810e4fe32014c,proto,kink_bridge,14,12,14,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0074,06bc68f756ab02f1a93133496fbe532202852b59,c9a7b6ceb8288ffae5ef3c4d138ee67463224e24,proto,kink_bridge,14,12,14,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0070,db84e1589f91eb9d505009ae1390ebc366f62780,9c4209e8f6c39b92cf5f1bd2fe4b4a4af7a1f7a6,proto,kink_bridge,12,10,12,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0076,9f4212132dadfba18a80565709fbdaffe27cb163,9c4209e8f6c39b92cf5f1bd2fe4b4a4af7a1f7a6,proto,rail_ladder,12,10,12,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0044,72029f15fc36e45d0ebac64ba54c3737ce6f11c9,824dd96b836dd9b8866197019e78f2d5e58b7588,proto,kink_bridge,11,9,11,0,25,"[""T_0015"",""T_0038"",""T_0041"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0058,272a619e544f5ee148d5d2b76128cc48964de856,8f7fd7566e8138cdf2e3165867059ad25f652738,proto,kink_bridge,11,9,11,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0064,5549128e516d90e03b8532a497908bfe4f5f4adf,a77e351f0a2f4a9af2136d94468a0d85dd8bf320,proto,kink_bridge,11,9,11,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0066,2418e039bc31d4b6ac474a7ea686978c57897bfa,a77e351f0a2f4a9af2136d94468a0d85dd8bf320,proto,kink_bridge,11,9,11,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0072,09e1acd847bbba4cd58ead9f42d50b8eb1d2028e,4da0af5e3e5a32178cc2e788da44503579b6b180,proto,bridge_fork,11,9,11,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0088,3fc098f54ef9581564316fde6da3e0e87a0a6991,4da0af5e3e5a32178cc2e788da44503579b6b180,proto,rail,11,9,11,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0094,2a648e573711b7975a5f8210daa79a60ba951958,5c6c9ab4e15761b73f37996c65adb380020130bd,proto,kink_bridge,11,9,11,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0096,eb13bd79bacdb9fd3cc909559248f2b4b77c676d,8f7fd7566e8138cdf2e3165867059ad25f652738,proto,adjacent,11,9,11,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0046,4f026ef72d990d662db51719257bbc846d74c521,7c4d1c2bc2787f52ef0d311c03d449c6c5190679,proto,kink_bridge,10,8,10,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0048,9f2646115ca2da2b16aba196e14928fdd495c04a,c78563402c398b99cefc25c71c4bd52fbe829527,proto,bridge_fork,10,8,10,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0056,d894e6843482ef171189d0462d7ed515b09e983b,a5b559b71145791f42cd949e5e1317616ce650e1,proto,kink_bridge,10,8,10,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0060,c218939bd22743d4635c37df7328254636a931ef,3ae956831379a99f9d13730a7e44519b9b2c0ae0,proto,rail,10,8,10,0,17,"[""T_0038"",""T_0041"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0062,4bfe2a210900014c6706a885431e59fba5f001b7,3ef87b518d0bae22ccac5714e922b5424600da0d,proto,bridge_fork,10,8,10,0,14,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0266"",""T_0296""]"
T_0068,91fed06201379857d5426fb9322eb4a55352d771,ca24c3390661b03b6c2d0627268d82cb785fd380,proto,kink_bridge,10,8,10,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0082,9b389e8ed86b48fae3abb28dfe40e6daa869da26,ca24c3390661b03b6c2d0627268d82cb785fd380,proto,kink_bridge,10,8,10,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0090,02d71a2187b310b3e102401b60b07603abe99800,8921f87082ff741f69a0caba6730896f53750e22,proto,rail_ladder,10,8,10,0,22,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0114"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0266"",""T_0270"",""T_0296""]"
T_0092,89e8b6326280ec300c2f01ad81412899e1710c26,8921f87082ff741f69a0caba6730896f53750e22,proto,kink_bridge,10,8,10,0,22,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0114"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0266"",""T_0270"",""T_0296""]"
T_0098,5afbeeb7efdb7dbf88cf944055697b9cb1d007a5,aef03c8e31d48b0dc892cd0c9b6c13bf6fb9ed63,proto,rail,10,8,10,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0042,1c81aab59176cf24600cd05e75adfc787a3bb919,9040fa00a806d23c3a49c486a63cd2b1b120f03a,proto,bridge_fork,9,7,9,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0052,122b9736a8e9dc721a553b6098e98079638d306b,9040fa00a806d23c3a49c486a63cd2b1b120f03a,proto,kink_bridge,9,7,9,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0054,3062ff0d34c2f0e18765c4b71c29e02984d6640f,9040fa00a806d23c3a49c486a63cd2b1b120f03a,proto,kink_bridge,9,7,9,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0080,d3587aaac5797c6b238e8faa1af4a544693adcad,a9a236adde449f5a73b2cbd42a5593de43325f0e,proto,kink_bridge,9,7,9,0,16,"[""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0114"",""T_0120"",""T_0171"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0266"",""T_0270"",""T_0296""]"
T_0084,99f267cb78c55d9a16f89ac911db43edc2fb3cbe,f7e106a863b8915550fed224002301ffb7229e61,proto,adjacent,9,7,9,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0086,d9f4b20bb389946e3641ea5e27b2ecfe9f685ca7,e484f62e96fc404f78b56673a42b80d064626d54,proto,adjacent,9,7,9,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0100,01b3aeed288f83d8b3cb94031b8d24cd8fb57d51,f7e106a863b8915550fed224002301ffb7229e61,proto,kink_bridge,9,7,9,0,27,"[""T_0015"",""T_0038"",""T_0041"",""T_0055"",""T_0069"",""T_0087"",""T_0110"",""T_0114"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0214"",""T_0225"",""T_0228"",""T_0242"",""T_0243"",""T_0250"",""T_0253"",""T_0256"",""T_0265"",""T_0266"",""T_0270"",""T_0274"",""T_0296""]"
T_0112,271860f48b77228f5db2199b012aed4b12034824,cf218b6b7e6831afe9444b1446685e2fb15abe78,proto,kink_bridge,7,5,7,0,18,"[""T_0038"",""T_0041"",""T_0055"",""T_0087"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0061,cb52750967bf4213c117774215056dd8d36ed15c,9e7beee9a1e818340b24f6c9e60461eada487906,exact,bridge_fork,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0075,edfd3ae874e989246bc5a12039f5be7aa3595319,b2a5f75eb7587da37057aeb22143451ebb04226a,exact,rail_ladder,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0079,9d773ac5b8ac8f6e8cdbc9a11384375d084ac654,9e7beee9a1e818340b24f6c9e60461eada487906,exact,kink_bridge,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0089,e35c1e35f3f8643f0af31160669da3845a849830,9e7beee9a1e818340b24f6c9e60461eada487906,exact,rail_ladder,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0091,32e2d1a46309d3fb06fd35690e8baf652c96224e,9e7beee9a1e818340b24f6c9e60461eada487906,exact,kink_bridge,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0093,483bcd603e5f346b176ef979d7863d673742df73,9e7beee9a1e818340b24f6c9e60461eada487906,exact,kink_bridge,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0095,08a52505acbd6c06d6df498ebed1d4e12c897179,b2a5f75eb7587da37057aeb22143451ebb04226a,exact,adjacent,6,4,6,0,4,"[""T_0041"",""T_0055"",""T_0087"",""T_0120""]"
T_0104,8d84f61a8d1356d4066cbf0742c20c83b6859ba0,da59ba995ff9ffae50dae0a455c9715154780abc,proto,kink_bridge,6,4,6,0,13,"[""T_0038"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0109,d68ef24321751dc2008727fcf40f2ad7b68a4881,7635dfe5d50947e0759bc06b5afe3647ef7f48bf,proto,kink_bridge,6,4,6,0,16,"[""T_0038"",""T_0041"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0117,6cc87517a8f416f33b05e6733a0cd1e5e8c7555d,869aa884b73c54f93283344d7561fa5f9506e842,proto,kink_bridge,6,4,6,0,14,"[""T_0038"",""T_0110"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0119,3bbb158fae9c13f659e818da6bf6f735419e4f5b,8ea32d36a080855d6f33ff579b5c3d976f87ee0e,proto,kink_bridge,6,4,6,0,16,"[""T_0038"",""T_0041"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0122,bd45d017aeb8d82c0fc4d9b1d88e0ed40bf40ef6,cc5990485e52b4a58cdd9deae99b453545ed9e59,proto,bridge_fork,6,4,6,0,14,"[""T_0038"",""T_0110"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0125,72dc7694bbf4020749f63b506d762ff715ae3715,da59ba995ff9ffae50dae0a455c9715154780abc,proto,adjacent,6,4,6,0,13,"[""T_0038"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0135,ced1bae3ea268ab6d834562cacec13441e14a1f2,da59ba995ff9ffae50dae0a455c9715154780abc,proto,rail_ladder,6,4,6,0,13,"[""T_0038"",""T_0120"",""T_0132"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
T_0150,9d22b6bcf41690615dd1fe649254290e25e4d682,8ea32d36a080855d6f33ff579b5c3d976f87ee0e,proto,rail_ladder,6,4,6,0,16,"[""T_0038"",""T_0041"",""T_0110"",""T_0120"",""T_0132"",""T_0137"",""T_0142"",""T_0146"",""T_0171"",""T_0243"",""T_0250"",""T_0253"",""T_0265"",""T_0266"",""T_0274"",""T_0296""]"
