conway_embedding_signature,templates,events,families,manifold_labels,mean_convex_deficit,mean_boundary_edges,mean_a2_diameter
"(2, 1, 0, 31, '(8, 8, 5)', (12, 12, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1)))",11,11,"{""adjacent"":2,""kink_bridge"":1,""rail_ladder"":8}","{""disk"":11}",31.0,54.0,8.0
"(2, 1, 0, 34, '(10, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1)))",6,6,"{""rail_ladder"":6}","{""disk"":6}",34.0,56.0,10.0
"(2, 2, 0, 33, '(10, 8, 5)', (14, 14, 10, 10, 7, 7), ((9, 2, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",6,6,"{""bridge_fork"":1,""kink_bridge"":3,""rail_ladder"":2}","{""disconnected"":6}",33.0,62.0,10.0
"(2, 2, 0, 54, '(10, 8, 8)', (14, 14, 10, 10, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",6,6,"{""kink_bridge"":4,""rail_ladder"":2}","{""disconnected"":6}",54.0,62.0,10.0
"(2, 2, 0, 35, '(8, 8, 6)', (14, 14, 10, 10, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",6,6,"{""kink_bridge"":3,""rail_ladder"":3}","{""disconnected"":6}",35.0,64.0,8.0
"(2, 1, 0, 29, '(8, 8, 5)', (12, 12, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1)))",5,6,"{""adjacent"":1,""kink_bridge"":1,""rail_ladder"":3}","{""disk"":5}",29.0,54.0,8.0
"(2, 1, 0, 48, '(9, 8, 8)', (15, 15, 9, 9, 9, 9), ((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1, 1)))",4,6,"{""adjacent"":2,""bridge_fork"":1,""rail_ladder"":1}","{""disk"":4}",48.0,66.0,9.0
"(2, 1, 0, 25, '(8, 8, 5)', (13, 13, 9, 9, 6, 6), ((9, 1, 1, 1, 1, 1), (6, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1)))",4,4,"{""adjacent"":1,""rail_ladder"":3}","{""disk"":4}",25.0,56.0,8.0
"(2, 1, 0, 6, '(7, 7, 2)', (8, 8, 8, 8, 3, 3), ((8, 6, 1), (3, 2, 2, 2, 2, 2, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1)))",4,4,"{""bridge_fork"":1,""kink_bridge"":2,""rail"":1}","{""disk"":4}",6.0,38.0,7.0
"(2, 1, 0, 41, '(10, 8, 6)', (13, 13, 9, 9, 7, 7), ((9, 1, 1, 1, 1, 1, 1), (6, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1)))",4,4,"{""adjacent"":1,""bridge_fork"":1,""kink_bridge"":2}","{""disk"":4}",41.0,58.0,10.0
