template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,a2_support_signature,a2_coxeter_diameter
T_0001,E000000028,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[2,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-3,4],[-2,3],[-1,2]],[[2,0],[3,0],[4,0]],[[3,-2],[4,-3],[5,-4]]]",3,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,2a430e490927cc5e285900db0baf1ee232b04da5,3,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""selfplay"":3}",1,0.0,1.386294,candidate-signal,"(4, 2, 4, 12, 0, 0, 4, 1)",21efb3da5188037434fc954641ee85b3db0396e9,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 8)",9
T_0002,E000000032,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[-1,2],[0,1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,5],[-3,4],[-2,3]],[[2,-1],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]]]",3,0,4,12,"(-1, 0)",adjacent,adjacent,three-axis,9c1e6f2a3a0dd688a13d567d94dc42d0d49f7150,2,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,1.665e-16,1.665e-16,3,3,3,3","{""selfplay"":2}",1,0.0,1.098612,candidate-signal,"(4, 2, 4, 12, 0, 0, 4, 1)",c7eb3b621de0ee9890e15800185ad7ae4d8039f1,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(8, 8, 8)",8
T_0003,E000000229,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[-2,-1],[2,-1]]","[[[-3,4],[-2,3],[-1,2]],[[-1,-1],[0,-1],[3,-1]],[[3,-2],[4,-3],[5,-4]]]",3,0,3,9,"(-4, 0)",rail,rail_ladder,three-axis,7535cc79660de82b75a14f294925c232737a7a4e,2,1,9,3,"{""3"":3}",0,0,3,27,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,3,3,3,3,3","{""opening"":2}",1,0.0,1.098612,candidate-signal,"(3, 1, 3, 9, 0, 0, 3, 1)",a67063eeea2486a8d51f6cb0a2c311d359586e72,0,14,3,"{""A"":3,""M"":2,""O"":9}",1,12,0.08333333333333333,"(8, 8, 5)",8
T_0078,E000000079,proto,15,13,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-2,1],[-1,-2]]","[[[-5,0]],[[2,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,2],[-2,3],[-2,4]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,1],[-1,2],[-1,3]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",10,0,15,41,"(-3, 1)",kink,kink_bridge,three-axis,00a30e695aa5483600aa4e0055d1f568fd752370,1,1,41,15,"{""1"":2,""3"":13}",2,0,15,-1,0.0,"-6.886e-16,-2.22e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(15, 13, 15, 41, 2, 0, 13, 1)",fba1795049d20d001015e0ea3f24febffb14b056,0,53,15,"{""A"":10,""M"":2,""O"":41}",1,12,0.08333333333333333,"(9, 9, 9)",9
T_0050,E000000051,proto,14,12,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[2,0]]","[[[-4,0]],[[3,0]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,1],[-1,2],[-1,3]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]],[[1,-1],[2,-1],[3,-1]]]",10,1,14,38,"(-5, 2)",kink,kink_bridge,three-axis,87ace0e6ea2e7a5e10fd27521d22f446c6ca543e,1,1,38,14,"{""1"":2,""3"":12}",2,0,14,-1,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 14, 38, 2, 0, 12, 1)",bfcc14b5618695fcfc9b4f8dafa1adcba5914527,0,51,14,"{""A"":10,""D"":1,""M"":2,""O"":38}",1,12,0.08333333333333333,"(10, 9, 8)",10
T_0074,E000000075,proto,14,12,1,"[[-4,0],[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-1,-2],[1,-1]]","[[[-5,0]],[[2,0]],[[-4,-1],[-3,-1]],[[2,-1],[3,-1]],[[-6,3],[-5,2],[-4,1]],[[-5,-2],[-4,-2],[-3,-2]],[[-5,3],[-4,2],[-3,1]],[[-2,1],[-2,2],[-2,3]],[[-1,-5],[-1,-4],[-1,-3]],[[-1,1],[-1,2],[-1,3]],[[0,-3],[1,-4],[2,-5]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-2],[3,-2]]]",11,1,14,36,"(-3, 1)",kink,kink_bridge,three-axis,06bc68f756ab02f1a93133496fbe532202852b59,1,1,36,14,"{""1"":2,""2"":2,""3"":10}",2,2,14,-1,0.0,"-5.511e-16,-3.926e-16,-2.22e-16,-1.722e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(14, 12, 14, 36, 2, 2, 10, 1)",b9fa4e0f06158ee4bf3b909c55fdb9f5f37b062d,0,50,14,"{""A"":11,""D"":1,""M"":2,""O"":36}",1,12,0.08333333333333333,"(10, 9, 8)",10
T_0070,E000000071,proto,12,10,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-3,-1],[-2,1]]","[[[-5,0]],[[2,0]],[[-5,-1],[-4,-1]],[[1,-1],[2,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]]]",10,0,12,30,"(-3, 1)",kink,kink_bridge,three-axis,db84e1589f91eb9d505009ae1390ebc366f62780,1,1,30,12,"{""1"":2,""2"":2,""3"":8}",2,2,12,-1,0.0,"-2.22e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(12, 10, 12, 30, 2, 2, 8, 1)",5d56cafe9bc7c271c48194f87235f67b77a3aa0e,0,42,12,"{""A"":10,""M"":2,""O"":30}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0076,E000000077,proto,12,10,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]",[],"[[-2,1],[0,1]]","[[[-5,0]],[[2,0]],[[0,-4],[0,-3]],[[0,2],[0,3]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,-4],[-2,-3],[-2,-2]],[[-2,2],[-2,3],[-2,4]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",10,0,12,30,"(-2, 0)",rail,rail_ladder,three-axis,9f4212132dadfba18a80565709fbdaffe27cb163,1,1,30,12,"{""1"":2,""2"":2,""3"":8}",2,2,12,-1,0.0,"-1.11e-15,-3.939e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(12, 10, 12, 30, 2, 2, 8, 1)",3d2f489d8e4b41890316619bcd571e1eb1404bee,0,42,12,"{""A"":10,""M"":2,""O"":30}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0044,E000000045,proto,11,9,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-2,1],[2,0]]","[[[-4,0]],[[3,0]],[[-5,-1],[-4,-1],[-3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]],[[1,-1],[2,-1],[3,-1]]]",9,1,11,29,"(-4, 1)",kink,kink_bridge,three-axis,72029f15fc36e45d0ebac64ba54c3737ce6f11c9,1,1,29,11,"{""1"":2,""3"":9}",2,0,11,-1,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 11, 29, 2, 0, 9, 1)",72b433ed5503c6595beb79cf6c9be6ebc11e7cb4,0,41,11,"{""A"":9,""D"":1,""M"":2,""O"":29}",1,12,0.08333333333333333,"(9, 9, 8)",9
T_0058,E000000059,proto,11,9,1,"[[-4,0],[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0]]","[[-2,-3]]","[[-2,1],[1,-1]]","[[[-5,0]],[[2,0]],[[-4,-1],[-3,-1]],[[2,-1],[3,-1]],[[-5,3],[-4,2],[-3,1]],[[-5,4],[-4,3],[-3,2]],[[-2,2],[-2,3],[-2,4]],[[0,-5],[0,-4],[0,-3]],[[0,1],[0,2],[0,3]],[[1,-3],[2,-4],[3,-5]],[[1,-2],[2,-3],[3,-4]]]",10,1,11,27,"(-3, 1)",kink,kink_bridge,three-axis,272a619e544f5ee148d5d2b76128cc48964de856,1,1,27,11,"{""1"":2,""2"":2,""3"":7}",2,2,11,-1,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,-1.11e-16,0,0,1.11e-16","{""adversarial"":1}",1,0.0,0.693147,reservoir,"(11, 9, 11, 27, 2, 2, 7, 1)",6ceed28760e7acda92edfef1afd0ad3d2b5899bf,0,40,11,"{""A"":10,""D"":1,""M"":2,""O"":27}",1,12,0.08333333333333333,"(9, 8, 8)",9
