template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts
T_0001,E000000031,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[2,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-3,4],[-2,3],[-1,2]],[[-2,0],[2,0],[3,0]],[[-2,3],[-1,2],[3,-2]],[[-1,2],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]],[[3,-2],[4,-3],[5,-4]]]",3,0,8,12,"(-2, 0)",rail,rail_ladder,three-axis,89187fdcaafa3ae2a058236b301af35da2ed41fe,3,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-5.829e-16,1.169e-15,1.326,1.326,3,3,4.346,4.346","{""selfplay"":3}"
T_0002,E000000035,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[-1,2],[0,1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,5],[-3,4],[-2,3]],[[-3,0],[-2,0],[2,0]],[[-3,4],[-2,3],[2,-1]],[[-2,0],[2,0],[3,0]],[[-2,3],[2,-1],[3,-2]],[[2,-1],[3,-2],[4,-3]],[[2,0],[3,0],[4,0]]]",3,0,8,12,"(-1, 0)",adjacent,adjacent,three-axis,a0c7cde98332ebffa3ad47f947205a4badf9588b,3,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-3.82e-16,1.502e-16,1.326,1.326,3,3,4.346,4.346","{""selfplay"":3}"
T_0003,E000000036,proto,3,1,0,"[[-1,0],[0,0],[1,0]]",[],"[[0,1],[3,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-2,0],[2,0],[3,0]],[[-2,3],[-1,2],[2,-1]],[[-1,2],[2,-1],[4,-3]],[[2,-1],[4,-3],[5,-4]],[[2,0],[3,0],[4,0]]]",3,0,7,11,"(-3, 0)",rail,rail_ladder,three-axis,aa3f69646c2e2684aa65397b6b7f8d00bc8da5a7,3,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"4.835e-16,1.6e-15,1.326,1.697,3,3.209,4.346,5.303","{""selfplay"":3}"
T_0004,E000000660,proto,3,1,0,"[[0,1],[1,-1],[1,0]]",[],"[[1,-2],[3,-2]]","[[[-2,3],[-1,2],[2,-1]],[[-1,2],[2,-1],[4,-3]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]],[[2,-1],[4,-3],[5,-4]]]",3,0,7,11,"(-2, 0)",rail,rail_ladder,three-axis,c0ad3e34355200c6c2b0b7766d18c55a87f3a563,3,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"5.218e-16,2.017e-15,1.326,1.697,3,3.209,4.346,5.303","{""opening"":3}"
T_0005,E000000042,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[1,-1],[2,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-3,3],[-2,2],[-1,1]],[[-2,0],[2,0],[3,0]],[[-2,2],[-1,1],[3,-3]],[[-1,1],[3,-3],[4,-4]],[[2,0],[3,0],[4,0]],[[3,-3],[4,-4],[5,-5]]]",3,0,8,12,"(-1, 0)",adjacent,adjacent,three-axis,d95eb706b290b4fef8999b8140184e83517151fb,2,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-5.829e-16,1.169e-15,1.326,1.326,3,3,4.346,4.346","{""selfplay"":2}"
T_0006,E000000044,proto,3,1,0,"[[-1,0],[0,0],[1,0]]",[],"[[-2,2],[1,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,4],[-3,3],[-1,1]],[[-3,0],[-2,0],[2,0]],[[-3,3],[-1,1],[2,-2]],[[-2,0],[2,0],[3,0]],[[-1,1],[2,-2],[3,-3]],[[2,0],[3,0],[4,0]]]",3,0,7,11,"(-3, 0)",rail,rail_ladder,three-axis,248f397ce63fa11d36ffa2ceea00e4456eee1ef1,2,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"-4.806e-16,1.927e-16,1.326,1.697,3,3.209,4.346,5.303","{""selfplay"":2}"
T_0007,E000000382,proto,7,5,0,"[[0,-2],[0,0],[1,-2],[1,-1],[1,0]]",[],"[[0,1],[2,-2]]","[[[-3,-2],[-2,-2],[-1,-2]],[[-3,3],[-2,2],[-1,1]],[[-2,-2],[-1,-2],[3,-2]],[[-2,2],[-1,1],[3,-3]],[[-1,-2],[3,-2],[4,-2]],[[-1,1],[3,-3],[4,-4]],[[0,-4],[0,-3],[0,-1]],[[0,-3],[0,-1],[0,2]],[[0,-1],[0,2],[0,3]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]],[[3,-3],[4,-4],[5,-5]],[[3,-2],[4,-2],[5,-2]]]",5,0,15,23,"(-3, 1)",kink,kink_bridge,three-axis,36203a7651f8a74c6cded741a50df0cbddb062a8,2,1,23,15,"{""3"":15}",0,0,7,-1,0.17142857142857143,"-1.694e-15,-3.69e-16,1.966e-16,1.161e-15,1.326,1.326,1.326,1.697","{""rail"":2}"
T_0008,E000000390,proto,6,4,0,"[[0,-1],[0,0],[1,-2],[1,-1],[1,0]]",[],"[[0,1],[2,-3]]","[[[-3,2],[-2,1],[-1,0]],[[-2,1],[-1,0],[3,-4]],[[-1,0],[3,-4],[4,-5]],[[0,-4],[0,-3],[0,-2]],[[0,-3],[0,-2],[0,2]],[[0,-2],[0,2],[0,3]],[[0,2],[0,3],[0,4]],[[1,-5],[1,-4],[1,-3]],[[1,-4],[1,-3],[1,1]],[[1,-3],[1,1],[1,2]],[[1,1],[1,2],[1,3]],[[3,-4],[4,-5],[5,-6]]]",5,0,12,18,"(-4, 2)",kink,kink_bridge,three-axis,47db631f9fbf85f92e286520e1c5cecccc9f0088,2,1,18,12,"{""3"":12}",0,0,6,216,0.22727272727272727,"-1.237e-15,-4.555e-16,9.775e-16,1.326,1.326,1.326,3,3","{""rail"":2}"
T_0009,E000000394,proto,7,5,0,"[[0,-2],[0,-1],[0,0],[1,-2],[1,-1]]",[],"[[1,1],[2,-2]]","[[[-3,-2],[-2,-2],[-1,-2]],[[-3,3],[-2,2],[-1,1]],[[-2,-2],[-1,-2],[3,-2]],[[-2,2],[-1,1],[3,-3]],[[-1,-2],[3,-2],[4,-2]],[[-1,1],[3,-3],[4,-4]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-4],[1,-3],[1,0]],[[1,-3],[1,0],[1,2]],[[1,0],[1,2],[1,3]],[[3,-3],[4,-4],[5,-5]],[[3,-2],[4,-2],[5,-2]]]",5,0,15,23,"(-3, 1)",kink,kink_bridge,three-axis,ea7325b951bd6b9ac78b9de1989fa3cb8cd6d3da,2,1,23,15,"{""3"":15}",0,0,7,-1,0.17142857142857143,"-1.274e-15,-8.838e-16,-3.166e-17,4.89e-17,1.326,1.326,1.326,1.697","{""rail"":2}"
T_0010,E000000403,proto,7,5,0,"[[0,-2],[0,-1],[0,0],[1,-2],[1,0]]",[],"[[-1,0],[1,1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,3],[-3,2],[-2,1]],[[-3,0],[-2,0],[2,0]],[[-3,2],[-2,1],[2,-3]],[[-2,0],[2,0],[3,0]],[[-2,1],[2,-3],[3,-4]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[1,-4],[1,-3],[1,-1]],[[1,-3],[1,-1],[1,2]],[[1,-1],[1,2],[1,3]],[[2,-3],[3,-4],[4,-5]],[[2,0],[3,0],[4,0]]]",5,0,15,23,"(-3, 1)",kink,kink_bridge,three-axis,35000d4214a789a931da3a9f901ecc24802a7482,2,1,23,15,"{""3"":15}",0,0,7,-1,0.17142857142857143,"-1.274e-15,-8.838e-16,-3.166e-17,4.89e-17,1.326,1.326,1.326,1.697","{""rail"":2}"
